Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
6.3,26.4505,27.3606,27.3621,27.3868,27.3141,27.4925,27.4925,25.0946
6.4,26.9418,27.7982,27.7908,27.8567,27.8237,27.9304,27.9304,25.6414
6.5,27.3659,28.2205,28.264,28.2803,28.2909,28.3901,28.3901,26.1403
6.6,27.7793,28.6616,28.6451,28.6605,28.7523,28.7737,28.7737,26.5906
6.7,28.2183,29.0295,29.119,29.1562,29.1538,29.1605,29.1605,27.0415
6.8,28.6161,29.4819,29.4935,29.5111,29.5758,29.5504,29.5504,27.5017
6.9,29.0285,29.9331,29.9329,29.8418,29.9466,29.9643,29.9643,27.8872
7.0,29.3964,30.3176,30.3328,30.2224,30.3625,30.3535,30.3535,28.3284
7.1,29.8207,30.7182,30.686,30.6707,30.7669,30.6978,30.6978,28.7087
7.2,30.2137,31.0974,31.0317,31.0486,31.1084,31.0972,31.0972,29.1226
7.3,30.596,31.4899,31.3824,31.3777,31.4816,31.4316,31.4316,29.4371
7.4,30.9376,31.8435,31.7748,31.7793,31.8409,31.7864,31.7864,29.8629
7.5,31.2901,32.1885,32.0424,32.1857,32.2193,32.1034,32.1034,30.1912
7.6,31.6196,32.466,32.3862,32.5449,32.5237,32.4466,32.4466,30.6064
7.7,31.9499,32.7731,32.679,32.8691,32.8509,32.8527,32.8527,30.9621
7.8,32.2856,33.1233,32.9631,33.2162,33.18,33.1504,33.1504,31.2794
7.9,32.5797,33.4256,33.2486,33.5642,33.4938,33.4546,33.4546,31.5249
8.0,32.9459,33.7578,33.6028,33.9676,33.8824,33.7296,33.7296,31.8847
8.1,33.2714,33.9996,33.8306,34.3193,34.2051,33.9744,33.9744,32.1245
8.2,33.6005,34.3143,34.1633,34.6541,34.5184,34.2693,34.2693,32.4999
8.3,33.879,34.5062,34.4897,34.9999,34.8728,34.6098,34.6098,32.7794
8.4,34.2137,34.8754,34.6786,35.2848,35.1577,34.9138,34.9138,33.0951
8.5,34.5244,35.1968,35.0218,35.5688,35.4088,35.23,35.23,33.4637
8.6,34.7734,35.5475,35.365,35.8486,35.6851,35.4762,35.4762,33.7314
8.7,35.0613,35.8085,35.6056,36.1246,35.9346,35.7804,35.7804,34.0321
8.8,35.3059,36.0088,35.9167,36.3876,36.2354,36.1481,36.1481,34.3478
8.9,35.6112,36.2385,36.1269,36.5794,36.553,36.5152,36.5152,34.6146
9.0,35.846,36.6078,36.3703,36.8128,36.8058,36.7325,36.7325,34.9034
9.1,36.0499,36.7958,36.6876,37.1139,37.0312,37.0341,37.0341,35.0709
9.2,36.2791,37.0826,36.9064,37.4691,37.3705,37.3477,37.3477,35.3205
9.3,36.5491,37.3535,37.1652,37.7758,37.6224,37.6791,37.6791,35.6148
9.4,36.7283,37.684,37.5084,38.0277,37.7937,37.7206,37.7206,35.9179
9.5,37.0754,37.9229,37.7274,38.2304,38.0567,38.0351,38.0351,36.194
9.6,37.1706,38.1004,37.9522,38.3656,38.2908,38.092,38.092,36.455
9.7,37.3421,38.2534,38.203,38.5568,38.635,38.2383,38.2383,36.704
9.8,37.6119,38.3264,38.3605,38.8461,38.8648,38.4023,38.4023,36.9769
9.9,37.852,38.6232,38.568,39.1432,39.1181,38.7588,38.7588,37.1913
10.0,38.1026,38.8905,38.7725,39.3752,39.3857,38.9359,38.9359,37.4514
10.1,38.1734,39.0605,39.0807,39.4658,39.5292,39.0603,39.0603,37.6913
10.2,38.3494,39.2871,39.1567,39.6231,39.7318,39.2723,39.2723,37.8241
10.3,38.3937,39.4453,39.3161,39.8723,39.8696,39.4934,39.4853,38.0572
10.4,38.5501,39.602,39.546,40.0738,39.8754,39.5937,39.7292,38.2108
10.5,38.82,39.7763,39.6735,40.3074,39.7779,39.7126,39.9228,38.4369
10.6,38.9984,39.9387,39.848,40.3976,39.9077,39.7388,40.0799,38.6195
10.7,39.2171,40.1342,40.006,40.5706,40.1522,39.9131,40.0767,38.9118
10.8,39.4232,40.3745,40.1251,40.804,40.2983,40.0165,40.2663,39.079
10.9,39.6224,40.6599,40.2544,40.9641,40.4664,40.2712,40.4706,39.2837
11.0,39.644,40.7942,40.4015,41.0744,40.6745,40.4358,40.6542,39.4931
11.1,39.8543,40.9388,40.5418,41.2159,40.8076,40.5552,40.8079,39.7384
11.2,39.9882,40.9936,40.4879,41.4094,40.7107,40.5781,40.8358,39.9791
11.3,40.1759,41.217,40.6861,41.6183,40.9369,40.6561,41.0526,40.1108
11.4,40.4202,41.2901,40.9019,41.7031,41.1991,40.6791,41.1047,40.2797
11.5,40.4458,41.3642,41.0454,41.813,41.325,40.695,40.9166,40.4859
11.6,40.4965,41.5198,41.2715,41.8792,41.3553,40.709,40.9762,40.5587
11.7,40.5885,41.633,41.4008,42.0966,41.3411,40.8608,41.0468,40.5841
11.8,40.7339,41.7281,41.537,42.3603,41.38,40.9545,41.151,40.7257
11.9,40.8313,41.9129,41.7751,42.4399,41.3883,41.1246,41.2169,40.7573
12.0,41.0257,41.979,41.9277,42.5664,41.3133,41.3029,41.288,40.8815
12.1,41.2191,42.146,42.1097,42.7607,41.0904,41.2658,41.4876,41.0598
12.2,41.373,42.2508,41.9326,42.9984,41.1312,41.4342,41.6773,41.2172
12.3,41.5455,42.3696,42.0038,43.1821,40.9809,41.4381,41.707,41.3767
12.4,41.692,42.4143,42.1633,43.3703,41.0846,41.5435,41.6944,41.5362
12.5,41.7533,42.5747,42.3075,43.5528,41.1761,41.5658,41.8311,41.6706
12.6,41.8572,42.7657,42.5167,43.5752,41.2577,41.7382,41.9509,41.6853
12.7,41.9653,42.6952,42.529,43.7739,41.282,41.8647,41.9469,41.6585
12.8,42.0618,42.7867,42.6072,43.9342,41.4368,41.9026,41.9615,41.753
12.9,42.0965,42.9012,42.5756,43.9703,41.6154,42.0906,42.039,41.8466
13.0,42.2172,42.9702,42.5247,44.0056,41.6237,42.1625,42.1543,41.8853
13.1,42.3922,43.0384,42.6273,44.0421,41.6752,42.1503,42.1518,41.9768
13.2,42.4586,43.1685,42.619,44.1053,41.839,42.2224,42.2212,42.2004
13.3,42.5511,43.2721,42.7415,44.2978,41.8541,42.2531,42.3433,42.3631
13.4,42.7009,43.3559,42.8373,44.3249,41.9292,42.3121,42.4989,42.2894
13.5,42.824,43.5055,42.9952,44.3624,42.0453,42.3429,42.4483,42.3914
13.6,42.9319,43.6561,43.1261,44.5351,42.088,42.509,42.5148,42.4271
13.7,43.0408,43.7803,43.1866,44.7165,42.0903,42.6744,42.5888,42.5553
13.8,43.1651,43.9216,43.3758,44.6975,42.2471,42.7905,42.6042,42.3923
13.9,43.2332,44.0387,43.442,44.7774,42.3332,42.8433,42.6867,42.4297
14.0,43.1913,44.0474,43.3639,44.8585,42.4045,42.8819,42.8037,42.5235
