Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
6.3,27.6396,27.3611,27.7486,27.6891,27.3743,25.3817,25.3817,24.4677
6.4,28.0336,27.8348,28.1079,28.2118,27.8902,25.9256,25.9256,25.0043
6.5,28.5106,28.2162,28.5292,28.6565,28.2792,26.4438,26.4438,25.4774
6.6,28.9622,28.6452,29.0084,28.9923,28.7499,26.9102,26.9102,25.9041
6.7,29.4133,29.0911,29.4801,29.3476,29.1613,27.3926,27.3926,26.3217
6.8,29.9137,29.4723,29.844,29.8101,29.5667,27.8635,27.8635,26.7788
6.9,30.2962,29.8599,30.1823,30.2285,29.9165,28.3187,28.3187,27.209
7.0,30.6542,30.2683,30.576,30.631,30.3689,28.7084,28.7084,27.6487
7.1,31.0412,30.6933,30.9722,30.9644,30.8009,29.0695,29.0695,28.0868
7.2,31.4599,31.0322,31.3633,31.3111,31.1003,29.5115,29.5115,28.5072
7.3,31.7991,31.3583,31.6783,31.6401,31.4621,29.8592,29.8592,28.9215
7.4,32.1794,31.7488,31.9838,32.0639,31.8218,30.2946,30.2946,29.2692
7.5,32.4378,32.0772,32.3668,32.3427,32.1678,30.6807,30.6807,29.6681
7.6,32.8129,32.3884,32.7379,32.6666,32.4936,31.0361,31.0361,30.0558
7.7,33.0523,32.7204,33.0607,33.0135,32.8488,31.3737,31.3737,30.4191
7.8,33.3818,33.0319,33.3932,33.4106,33.1972,31.7303,31.7303,30.766
7.9,33.7822,33.2992,33.6987,33.7377,33.5649,32.0689,32.0689,31.1023
8.0,34.1014,33.6225,34.0104,34.0623,33.9105,32.3997,32.3997,31.4706
8.1,34.4549,33.8542,34.3825,34.3341,34.2277,32.746,32.746,31.8586
8.2,34.7213,34.2277,34.6803,34.634,34.5319,33.0429,33.0429,32.2349
8.3,35.1012,34.5485,34.9705,34.875,34.8953,33.3229,33.3229,32.5255
8.4,35.4558,34.8279,35.2788,35.1175,35.2015,33.6747,33.6747,32.8286
8.5,35.6772,35.1375,35.6552,35.5063,35.4938,33.968,33.968,33.1913
8.6,35.8896,35.417,35.9046,35.6426,35.7174,34.2665,34.2665,33.4775
8.7,36.1845,35.6753,36.2467,36.0374,36.0405,34.5667,34.5667,33.6554
8.8,36.4135,35.9255,36.4788,36.3784,36.2935,34.805,34.805,33.9302
8.9,36.718,36.1853,36.6915,36.6995,36.5453,34.995,34.995,34.2048
9.0,36.9782,36.465,36.9396,37.0,36.7049,35.2854,35.2854,34.4524
9.1,37.3084,36.6222,36.9779,37.2502,36.9847,35.3985,35.3985,34.7842
9.2,37.4053,36.8464,37.2404,37.5899,37.234,35.669,35.669,34.9739
9.3,37.6936,37.1083,37.5332,37.8025,37.5566,35.9085,35.9085,35.2668
9.4,37.9494,37.2172,37.7976,37.942,37.7843,36.1008,36.1008,35.6057
9.5,38.0579,37.5016,37.8955,38.2082,38.0399,36.3541,36.3541,35.8168
9.6,38.3856,37.8141,38.1643,38.4893,38.1789,36.59,36.59,36.0653
9.7,38.6752,38.0032,38.4324,38.7068,38.4515,36.7653,36.7653,36.3765
9.8,38.8206,38.2305,38.6275,38.9741,38.5535,37.0506,37.0506,36.547
9.9,39.071,38.3198,38.7052,39.0428,38.6922,37.3429,37.3429,36.8526
10.0,39.3195,38.4623,38.9175,39.257,38.9792,37.551,37.551,37.0941
10.1,39.4856,38.7079,39.0957,39.3738,39.1852,37.7125,37.7125,37.2691
10.2,39.6495,38.8677,39.3544,39.5595,39.3396,37.9767,37.9767,37.4903
10.3,39.7567,39.0219,39.5407,39.7788,39.5794,38.2193,38.2193,37.7184
10.4,39.8164,39.2562,39.7111,39.97,39.6793,38.3898,38.3898,37.9168
10.5,39.9618,39.4796,39.8482,40.2096,39.7936,38.5741,38.5741,38.1576
10.6,40.1202,39.6841,40.0682,40.3835,39.9108,38.7538,38.7538,38.3678
10.7,40.3506,39.9231,40.1459,40.505,40.0725,39.0121,39.0121,38.605
10.8,40.4811,40.0582,40.1515,40.4903,40.2348,39.1903,39.1903,38.8225
10.9,40.6151,40.1811,40.2455,40.7202,40.3935,39.4397,39.4397,38.9399
11.0,40.8175,40.3962,40.4643,40.9474,40.5868,39.5755,39.5755,39.0443
11.1,41.0044,40.6067,40.7306,41.1924,40.7186,39.8162,39.8162,39.2178
11.2,41.1891,40.7979,40.8542,41.3628,40.8907,39.8147,39.8147,39.4115
11.3,41.3714,40.9035,41.0655,41.2885,41.0473,39.9649,39.9565,39.6903
11.4,41.5393,41.0749,41.0969,41.4852,41.2076,40.1652,40.1596,39.809
11.5,41.615,41.2517,41.2535,41.7448,41.3613,40.2859,40.3541,39.9408
11.6,41.8419,41.331,41.1685,41.8706,41.5346,40.3233,40.4747,40.0478
11.7,42.0186,41.3467,41.2252,42.0787,41.4582,40.4964,40.648,40.1904
11.8,42.1303,41.4129,41.3713,42.2617,41.2492,40.6687,40.8199,40.2448
11.9,42.1787,41.6307,41.5683,42.4142,41.2282,40.817,40.91,40.5018
12.0,42.2579,41.6848,41.5715,42.6088,41.428,40.966,41.0005,40.6404
12.1,42.3815,41.8054,41.4584,42.7527,41.4558,41.1125,41.1564,40.7879
12.2,42.5755,41.9908,41.5676,42.9795,41.4984,41.3235,41.3211,40.7786
12.3,42.6339,42.1733,41.6363,43.1374,41.4509,41.4959,41.4427,40.9447
12.4,42.7856,42.3471,41.8324,43.3343,41.5435,41.5054,41.6457,41.1062
12.5,42.9362,42.4267,42.0189,43.526,41.5538,41.473,41.7953,41.1294
12.6,42.8184,42.5224,42.1624,43.6879,41.6425,41.5339,41.9793,41.253
12.7,42.9707,42.6685,42.1708,43.828,41.5909,41.6525,41.9766,41.4207
12.8,43.1226,42.8535,42.2113,44.0667,41.6184,41.8118,42.0597,41.5478
12.9,43.2144,42.9385,42.3517,44.1459,41.7286,41.8632,42.2099,41.617
13.0,43.3721,43.1098,42.4223,44.1936,41.805,41.9091,42.2578,41.5639
13.1,43.3532,43.2444,42.3962,44.2741,41.865,41.9878,42.2645,41.7193
13.2,43.3464,43.4272,42.3664,44.3738,42.1177,42.1337,42.3005,41.7756
13.3,43.4936,43.5054,42.3242,44.3309,42.2056,42.251,42.476,41.9324
13.4,43.6003,43.566,42.4281,44.5281,42.1869,42.3618,42.4405,41.9219
