Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0619854,1,1.0,1,1,1,1,1,1.0
0.0619854,0,0.0,0,0,0,0,0,0.0
0.0625173,1,1.0,1,1,1,1,1,1.0
0.0625173,0,0.0,0,0,0,0,0,0.0
0.0629863,1,1.0,1,1,1,1,1,1.0
0.0629863,0,0.0,0,0,0,0,0,0.0
0.0636332,1,1.0,1,1,1,1,1,1.0
0.0636332,0,0.0,0,0,0,0,0,0.0
0.0639876,1,1.0,1,1,1,1,1,1.0
0.0639876,0,0.0,0,0,0,0,0,0.0
0.0639876,1,1.0,1,1,1,1,1,1.0
0.0639876,0,0.0,0,0,0,0,0,0.0
0.0641804,1,1.0,1,1,1,1,1,1.0
0.0641804,0,0.0,0,0,0,0,0,0.0
0.0642308,1,1.0,1,1,1,1,1,1.0
0.0642308,0,0.0,0,0,0,0,0,0.0
0.0649464,1,1.0,1,1,1,1,1,1.0
0.0649464,0,0.0,0,0,0,0,0,0.0
0.0656306,1,1.0,1,1,1,1,1,1.0
0.0656306,0,0.0,0,0,0,0,0,0.0
0.0660123,1,1.0,1,1,1,1,1,1.0
0.0660123,0,0.0,0,0,0,0,0,0.0
0.0662098,1,1.0,1,1,1,1,1,1.0
0.0662098,0,0.0,0,0,0,0,0,0.0
0.0670427,1,1.0,1,1,1,1,1,1.0
0.0670427,0,0.0,0,0,0,0,0,0.0
0.0680559,1,1.0,1,1,1,1,1,1.0
0.0680559,0,0.0,0,0,0,0,0,0.0
0.0686065,1,1.0,1,1,1,1,1,1.0
0.0686065,0,0.0,0,0,0,0,0,0.0
0.0686443,1,1.0,1,1,1,1,1,1.0
0.0686443,0,0.0,0,0,0,0,0,0.0
0.0688615,1,1.0,1,1,1,1,1,1.0
0.0688615,0,0.0,0,0,0,0,0,0.0
0.0689645,1,1.0,1,1,1,1,1,1.0
0.0689645,0,0.0,0,0,0,0,0,0.0
0.0690572,1,1.0,1,1,1,1,1,1.0
0.0690572,0,0.0,0,0,0,0,0,0.0
0.0696059,1,1.0,1,1,1,1,1,1.0
0.0696059,0,0.0,0,0,0,0,0,0.0
0.0710591,1,1.0,1,1,1,1,1,1.0
0.0710591,0,0.0,0,0,0,0,0,0.0
0.0710631,1,1.0,1,1,1,1,1,1.0
0.0710631,0,0.0,0,0,0,0,0,0.0
0.0720634,1,1.0,1,1,1,1,1,1.0
0.0720634,0,0.0,0,0,0,0,0,0.0
0.0728731,1,1.0,1,1,1,1,1,1.0
0.0728731,0,0.0,0,0,0,0,0,0.0
0.0730647,1,1.0,1,1,1,1,1,1.0
0.0730647,0,0.0,0,0,0,0,0,0.0
0.0730853,1,1.0,1,1,1,1,1,1.0
0.0730853,0,0.0,0,0,0,0,0,0.0
0.0738314,1,1.0,1,1,1,1,1,1.0
0.0738314,0,0.0,0,0,0,0,0,0.0
0.0739896,1,1.0,1,1,1,1,1,1.0
0.0739896,0,0.0,0,0,0,0,0,0.0
0.0740846,1,1.0,1,1,1,1,1,1.0
0.0740846,0,0.0,0,0,0,0,0,0.0
0.0742266,1,1.0,1,1,1,1,1,1.0
0.0742266,0,0.0,0,0,0,0,0,0.0
0.0744774,1,1.0,1,1,1,1,1,1.0
0.0744774,0,0.0,0,0,0,0,0,0.0
0.0751037,1,1.0,1,1,1,1,1,1.0
0.0751037,0,0.0,0,0,0,0,0,0.0
0.0754452,1,1.0,1,1,1,1,1,1.0
0.0754452,0,0.0,0,0,0,0,0,0.0
0.0761047,1,1.0,1,1,1,1,1,1.0
0.0761047,0,0.0,0,0,0,0,0,0.0
0.0762056,1,1.0,1,1,1,1,1,1.0
0.0762056,0,0.0,0,0,0,0,0,0.0
0.077116,1,1.0,1,1,1,1,1,1.0
0.077116,0,0.0,0,0,0,0,0,0.0
0.0775856,1,1.0,1,1,1,1,1,1.0
0.0775856,0,0.0,0,0,0,0,0,0.0
0.0776569,1,1.0,1,1,1,1,1,1.0
0.0776569,0,0.0,0,0,0,0,0,0.0
0.0781286,1,1.0,1,1,1,1,1,1.0
0.0781286,0,0.0,0,0,0,0,0,0.0
0.079152,1,1.0,1,1,1,1,1,1.0
0.079152,0,0.0,0,0,0,0,0,0.0
0.0798128,1,1.0,1,1,1,1,1,1.0
0.0798128,0,0.0,0,0,0,0,0,0.0
0.0801533,1,1.0,1,1,1,1,1,1.0
0.0801533,0,0.0,0,0,0,0,0,0.0
0.0802098,1,1.0,1,1,1,1,1,1.0
0.0802098,0,0.0,0,0,0,0,0,0.0
0.0812889,1,1.0,1,1,1,1,1,1.0
0.0812889,0,0.0,0,0,0,0,0,0.0
0.0814283,1,1.0,1,1,1,1,1,1.0
0.0814283,0,0.0,0,0,0,0,0,0.0
0.0817923,1,1.0,1,1,1,1,1,1.0
0.0817923,0,0.0,0,0,0,0,0,0.0
0.0818087,1,1.0,1,1,1,1,1,1.0
0.0818087,0,0.0,0,0,0,0,0,0.0
0.0821028,1,1.0,1,1,1,1,1,1.0
0.0821028,0,0.0,0,0,0,0,0,0.0
0.0821619,1,1.0,1,1,1,1,1,1.0
0.0821619,0,0.0,0,0,0,0,0,0.0
0.0826306,1,1.0,1,1,1,1,1,1.0
0.0826306,0,0.0,0,0,0,0,0,0.0
0.0831629,1,1.0,1,1,1,1,1,1.0
0.0831629,0,0.0,0,0,0,0,0,0.0
0.0832854,1,1.0,1,1,1,1,1,1.0
0.0832854,0,0.0,0,0,0,0,0,0.0
0.0837989,1,1.0,1,1,1,1,1,1.0
0.0837989,0,0.0,0,0,0,0,0,0.0
0.0840001,1,1.0,1,1,1,1,1,1.0
0.0840001,0,0.0,0,0,0,0,0,0.0
0.0841936,1,1.0,1,1,1,1,1,1.0
0.0841936,0,0.0,0,0,0,0,0,0.0
0.0848958,1,1.0,1,1,1,1,1,1.0
0.0848958,0,0.0,0,0,0,0,0,0.0
0.0851553,1,1.0,1,1,1,1,1,1.0
0.0851553,0,0.0,0,0,0,0,0,0.0
0.0851962,1,1.0,1,1,1,1,1,1.0
0.0851962,0,0.0,0,0,0,0,0,0.0
0.085443,1,1.0,1,1,1,1,1,1.0
0.085443,0,0.0,0,0,0,0,0,0.0
0.0861971,1,1.0,1,1,1,1,1,1.0
0.0861971,0,0.0,0,0,0,0,0,0.0
0.0871984,1,1.0,1,1,1,1,1,1.0
0.0871984,0,0.0,0,0,0,0,0,0.0
0.0882001,1,1.0,1,1,1,1,1,1.0
0.0882001,0,0.0,0,0,0,0,0,0.0
0.0885118,1,1.0,1,1,1,1,1,1.0
0.0885118,0,0.0,0,0,0,0,0,0.0
0.0892147,1,1.0,1,1,1,1,1,1.0
0.0892147,0,0.0,0,0,0,0,0,0.0
0.089645,1,1.0,1,1,1,1,1,1.0
0.089645,0,0.0,0,0,0,0,0,0.0
0.0902412,1,1.0,1,1,1,1,1,1.0
0.0902412,0,0.0,0,0,0,0,0,0.0
0.0911368,1,1.0,1,1,1,1,1,1.0
0.0911368,0,0.0,0,0,0,0,0,0.0
0.0912467,1,1.0,1,1,1,1,1,1.0
0.0912467,0,0.0,0,0,0,0,0,0.0
0.0922595,1,1.0,1,1,1,1,1,1.0
0.0922595,0,0.0,0,0,0,0,0,0.0
0.0930969,1,1.0,1,1,1,1,1,1.0
0.0930969,0,0.0,0,0,0,0,0,0.0
0.0931157,1,1.0,1,1,1,1,1,1.0
0.0931157,0,0.0,0,0,0,0,0,0.0
0.0932671,1,1.0,1,1,1,1,1,1.0
0.0932671,0,0.0,0,0,0,0,0,0.0
0.0936745,1,1.0,1,1,1,1,1,1.0
0.0936745,0,0.0,0,0,0,0,0,0.0
0.0940406,1,1.0,1,1,1,1,1,1.0
0.0940406,0,0.0,0,0,0,0,0,0.0
0.0941652,1,1.0,1,1,1,1,1,1.0
0.0941652,0,0.0,0,0,0,0,0,0.0
0.0945902,1,1.0,1,1,1,1,1,1.0
0.0945902,0,0.0,0,0,0,0,0,0.0
0.0952794,1,1.0,1,1,1,1,1,1.0
0.0952794,0,0.0,0,0,0,0,0,0.0
0.0953879,1,1.0,1,1,1,1,1,1.0
0.0953879,0,0.0,0,0,0,0,0,0.0
0.0960535,1,1.0,1,1,1,1,1,1.0
0.0960535,0,0.0,0,0,0,0,0,0.0
0.0962844,1,1.0,1,1,1,1,1,1.0
0.0962844,0,0.0,0,0,0,0,0,0.0
0.0972935,1,1.0,1,1,1,1,1,1.0
0.0972935,0,0.0,0,0,0,0,0,0.0
0.0982183,1,1.0,1,1,1,1,1,1.0
0.0982183,0,0.0,0,0,0,0,0,0.0
0.0983027,1,1.0,1,1,1,1,1,1.0
0.0983027,0,0.0,0,0,0,0,0,0.0
0.0983715,1,1.0,1,1,1,1,1,1.0
0.0983715,0,0.0,0,0,0,0,0,0.0
0.0993155,1,1.0,1,1,1,1,1,1.0
0.0993155,0,0.0,0,0,0,0,0,0.0
0.100321,1,1.0,1,1,1,1,1,1.0
0.100321,0,0.0,0,0,0,0,0,0.0
0.101328,1,1.0,1,1,1,1,1,1.0
0.101328,0,0.0,0,0,0,0,0,0.0
0.102331,1,1.0,1,1,1,1,1,1.0
0.102331,0,0.0,0,0,0,0,0,0.0
0.102593,1,1.0,1,1,1,1,1,1.0
0.102593,0,0.0,0,0,0,0,0,0.0
0.102631,1,1.0,1,1,1,1,1,1.0
0.102631,0,0.0,0,0,0,0,0,0.0
0.103147,1,1.0,1,1,1,1,1,1.0
0.103147,0,0.0,0,0,0,0,0,0.0
0.103335,1,1.0,1,1,1,1,1,1.0
0.103335,0,0.0,0,0,0,0,0,0.0
0.103706,1,1.0,1,1,1,1,1,1.0
0.103706,0,0.0,0,0,0,0,0,0.0
0.104346,1,1.0,1,1,1,1,1,1.0
0.104346,0,0.0,0,0,0,0,0,0.0
0.105455,1,1.0,1,1,1,1,1,1.0
0.105455,0,0.0,0,0,0,0,0,0.0
0.105809,1,1.0,1,1,1,1,1,1.0
0.105809,0,0.0,0,0,0,0,0,0.0
0.10736,1,1.0,1,1,1,1,1,1.0
0.10736,0,0.0,0,0,0,0,0,0.0
0.108361,1,1.0,1,1,1,1,1,1.0
0.108361,0,0.0,0,0,0,0,0,0.0
0.108438,1,1.0,1,1,1,1,1,1.0
0.108438,0,0.0,0,0,0,0,0,0.0
0.109393,1,1.0,1,1,1,1,1,1.0
0.109393,0,0.0,0,0,0,0,0,0.0
0.109408,1,1.0,1,1,1,1,1,1.0
0.109408,0,0.0,0,0,0,0,0,0.0
0.11041,1,1.0,1,1,1,1,1,1.0
0.11041,0,0.0,0,0,0,0,0,0.0
0.111416,1,1.0,1,1,1,1,1,1.0
0.111416,0,0.0,0,0,0,0,0,0.0
0.112035,1,1.0,1,1,1,1,1,1.0
0.112035,0,0.0,0,0,0,0,0,0.0
0.112425,1,1.0,1,1,1,1,1,1.0
0.112425,0,0.0,0,0,0,0,0,0.0
0.114445,1,1.0,1,1,1,1,1,1.0
0.114445,0,0.0,0,0,0,0,0,0.0
0.11526,1,1.0,1,1,1,1,1,1.0
0.11526,0,0.0,0,0,0,0,0,0.0
0.115388,1,1.0,1,1,1,1,1,1.0
0.115388,0,0.0,0,0,0,0,0,0.0
0.11546,1,1.0,1,1,1,1,1,1.0
0.11546,0,0.0,0,0,0,0,0,0.0
0.116426,1,1.0,1,1,1,1,1,1.0
0.116426,0,0.0,0,0,0,0,0,0.0
0.116476,1,1.0,1,1,1,1,1,1.0
0.116476,0,0.0,0,0,0,0,0,0.0
0.11748,1,1.0,1,1,1,1,1,1.0
0.11748,0,0.0,0,0,0,0,0,0.0
0.118483,1,1.0,1,1,1,1,1,1.0
0.118483,0,0.0,0,0,0,0,0,0.0
0.119084,1,1.0,1,1,1,1,1,1.0
0.119084,0,0.0,0,0,0,0,0,0.0
0.11949,1,1.0,1,1,1,1,1,1.0
0.11949,0,0.0,0,0,0,0,0,0.0
0.120757,1,1.0,1,1,1,1,1,1.0
0.120757,0,0.0,0,0,0,0,0,0.0
0.121508,1,1.0,1,1,1,1,1,1.0
0.121508,0,0.0,0,0,0,0,0,0.0
0.122283,1,1.0,1,1,1,1,1,1.0
0.122283,0,0.0,0,0,0,0,0,0.0
0.122549,1,1.0,1,1,1,1,1,1.0
0.122549,0,0.0,0,0,0,0,0,0.0
0.123556,1,1.0,1,1,1,1,1,1.0
0.123556,0,0.0,0,0,0,0,0,0.0
0.123922,1,1.0,1,1,1,1,1,1.0
0.123922,0,0.0,0,0,0,0,0,0.0
0.124725,1,1.0,1,1,1,1,1,1.0
0.124725,0,0.0,0,0,0,0,0,0.0
0.125585,1,1.0,1,1,1,1,1,1.0
0.125585,0,0.0,0,0,0,0,0,0.0
0.125585,1,1.0,1,1,1,1,1,1.0
0.125585,0,0.0,0,0,0,0,0,0.0
0.127598,1,1.0,1,1,1,1,1,1.0
0.127598,0,0.0,0,0,0,0,0,0.0
0.127811,1,1.0,1,1,1,1,1,1.0
0.127811,0,0.0,0,0,0,0,0,0.0
0.128615,1,1.0,1,1,1,1,1,1.0
0.128615,0,0.0,0,0,0,0,0,0.0
0.128789,1,1.0,1,1,1,1,1,1.0
0.128789,0,0.0,0,0,0,0,0,0.0
0.129605,1,1.0,1,1,1,1,1,1.0
0.129605,0,0.0,0,0,0,0,0,0.0
0.130179,1,1.0,1,1,1,1,1,1.0
0.130179,0,0.0,0,0,0,0,0,0.0
0.130245,1,1.0,1,1,1,1,1,1.0
0.130245,0,0.0,0,0,0,0,0,0.0
0.13027,1,1.0,1,1,1,1,1,1.0
0.13027,0,0.0,0,0,0,0,0,0.0
0.130624,1,1.0,1,1,1,1,1,1.0
0.130624,0,0.0,0,0,0,0,0,0.0
0.131441,1,1.0,1,1,1,1,1,1.0
0.131441,0,0.0,0,0,0,0,0,0.0
0.131465,1,1.0,1,1,1,1,1,1.0
0.131465,0,0.0,0,0,0,0,0,0.0
0.131627,1,1.0,1,1,1,1,1,1.0
0.131627,0,0.0,0,0,0,0,0,0.0
0.132634,1,1.0,1,1,1,1,1,1.0
0.132634,0,0.0,0,0,0,0,0,0.0
0.132634,1,1.0,1,1,1,1,1,1.0
0.132634,0,0.0,0,0,0,0,0,0.0
0.132634,1,1.0,1,1,1,1,1,1.0
0.132634,0,0.0,0,0,0,0,0,0.0
0.134643,1,1.0,1,1,1,1,1,1.0
0.134643,0,0.0,0,0,0,0,0,0.0
0.135644,1,1.0,1,1,1,1,1,1.0
0.135644,0,0.0,0,0,0,0,0,0.0
0.135644,1,1.0,1,1,1,1,1,1.0
0.135644,0,0.0,0,0,0,0,0,0.0
0.136656,1,1.0,1,1,1,1,1,1.0
0.136656,0,0.0,0,0,0,0,0,0.0
0.138386,1,1.0,1,1,1,1,1,1.0
0.138386,0,0.0,0,0,0,0,0,0.0
0.138387,1,1.0,1,1,1,1,1,1.0
0.138387,0,0.0,0,0,0,0,0,0.0
0.138667,1,1.0,1,1,1,1,1,1.0
0.138667,0,0.0,0,0,0,0,0,0.0
0.139084,1,1.0,1,1,1,1,1,1.0
0.139084,0,0.0,0,0,0,0,0,0.0
0.13967,1,1.0,1,1,1,1,1,1.0
0.13967,0,0.0,0,0,0,0,0,0.0
0.140757,1,1.0,1,1,1,1,1,1.0
0.140757,0,0.0,0,0,0,0,0,0.0
0.141673,1,1.0,1,1,1,1,1,1.0
0.141673,0,0.0,0,0,0,0,0,0.0
0.141673,1,1.0,1,1,1,1,1,1.0
0.141673,0,0.0,0,0,0,0,0,0.0
0.142636,1,1.0,1,1,1,1,1,1.0
0.142636,0,0.0,0,0,0,0,0,0.0
0.143716,1,1.0,1,1,1,1,1,1.0
0.143716,0,0.0,0,0,0,0,0,0.0
0.143993,1,1.0,1,1,1,1,1,1.0
0.143993,0,0.0,0,0,0,0,0,0.0
0.144732,1,1.0,1,1,1,1,1,1.0
0.144732,0,0.0,0,0,0,0,0,0.0
0.145745,1,1.0,1,1,1,1,1,1.0
0.145745,0,0.0,0,0,0,0,0,0.0
0.145745,1,1.0,1,1,1,1,1,1.0
0.145745,0,0.0,0,0,0,0,0,0.0
0.145807,1,1.0,1,1,1,1,1,1.0
0.145807,0,0.0,0,0,0,0,0,0.0
0.146675,1,1.0,1,1,1,1,1,1.0
0.146675,0,0.0,0,0,0,0,0,0.0
0.147778,1,1.0,1,1,1,1,1,1.0
0.147778,0,0.0,0,0,0,0,0,0.0
0.148362,1,1.0,1,1,1,1,1,1.0
0.148362,0,0.0,0,0,0,0,0,0.0
0.148782,1,1.0,1,1,1,1,1,1.0
0.148782,0,0.0,0,0,0,0,0,0.0
0.149553,1,1.0,1,1,1,1,1,1.0
0.149553,0,0.0,0,0,0,0,0,0.0
0.149788,1,1.0,1,1,1,1,1,1.0
0.149788,0,0.0,0,0,0,0,0,0.0
0.149825,1,1.0,1,1,1,1,1,1.0
0.149825,0,0.0,0,0,0,0,0,0.0
0.150803,1,1.0,1,1,1,1,1,1.0
0.150803,0,0.0,0,0,0,0,0,0.0
0.151423,1,1.0,1,1,1,1,1,1.0
0.151423,0,0.0,0,0,0,0,0,0.0
0.151466,1,1.0,1,1,1,1,1,1.0
0.151466,0,0.0,0,0,0,0,0,0.0
0.152808,1,1.0,1,1,1,1,1,1.0
0.152808,0,0.0,0,0,0,0,0,0.0
0.153136,1,1.0,1,1,1,1,1,1.0
0.153136,0,0.0,0,0,0,0,0,0.0
0.153815,1,1.0,1,1,1,1,1,1.0
0.153815,0,0.0,0,0,0,0,0,0.0
0.154311,1,1.0,1,1,1,1,1,1.0
0.154311,0,0.0,0,0,0,0,0,0.0
0.154485,1,1.0,1,1,1,1,1,1.0
0.154485,0,0.0,0,0,0,0,0,0.0
0.154824,1,1.0,1,1,1,1,1,1.0
0.154824,0,0.0,0,0,0,0,0,0.0
0.156838,1,1.0,1,1,1,1,1,1.0
0.156838,0,0.0,0,0,0,0,0,0.0
0.157841,1,1.0,1,1,1,1,1,1.0
0.157841,0,0.0,0,0,0,0,0,0.0
0.158387,1,1.0,1,1,1,1,1,1.0
0.158387,0,0.0,0,0,0,0,0,0.0
0.158656,1,1.0,1,1,1,1,1,1.0
0.158656,0,0.0,0,0,0,0,0,0.0
0.158713,1,1.0,1,1,1,1,1,1.0
0.158713,0,0.0,0,0,0,0,0,0.0
0.158853,1,1.0,1,1,1,1,1,1.0
0.158853,0,0.0,0,0,0,0,0,0.0
0.159854,1,1.0,1,1,1,1,1,1.0
0.159854,0,0.0,0,0,0,0,0,0.0
0.160805,1,1.0,1,1,1,1,1,1.0
0.160805,0,0.0,0,0,0,0,0,0.0
0.160876,1,1.0,1,1,1,1,1,1.0
0.160876,0,0.0,0,0,0,0,0,0.0
0.160876,1,1.0,1,1,1,1,1,1.0
0.160876,0,0.0,0,0,0,0,0,0.0
0.160876,1,1.0,1,1,1,1,1,1.0
0.160876,0,0.0,0,0,0,0,0,0.0
0.161491,1,1.0,1,1,1,1,1,1.0
0.161491,0,0.0,0,0,0,0,0,0.0
0.162519,1,1.0,1,1,1,1,1,1.0
0.162519,0,0.0,0,0,0,0,0,0.0
0.16291,1,1.0,1,1,1,1,1,1.0
0.16291,0,0.0,0,0,0,0,0,0.0
0.16392,1,1.0,1,1,1,1,1,1.0
0.16392,0,0.0,0,0,0,0,0,0.0
0.164711,1,1.0,1,1,1,1,1,1.0
0.164711,0,0.0,0,0,0,0,0,0.0
0.164878,1,1.0,1,1,1,1,1,1.0
0.164878,0,0.0,0,0,0,0,0,0.0
0.164925,1,1.0,1,1,1,1,1,1.0
0.164925,0,0.0,0,0,0,0,0,0.0
0.16693,1,1.0,1,1,1,1,1,1.0
0.16693,0,0.0,0,0,0,0,0,0.0
0.16693,1,1.0,1,1,1,1,1,1.0
0.16693,0,0.0,0,0,0,0,0,0.0
0.16693,1,1.0,1,1,1,1,1,1.0
0.16693,0,0.0,0,0,0,0,0,0.0
0.167308,1,1.0,1,1,1,1,1,1.0
0.167308,0,0.0,0,0,0,0,0,0.0
0.168362,1,1.0,1,1,1,1,1,1.0
0.168362,0,0.0,0,0,0,0,0,0.0
0.168941,1,1.0,1,1,1,1,1,1.0
0.168941,0,0.0,0,0,0,0,0,0.0
0.169068,1,1.0,1,1,1,1,1,1.0
0.169068,0,0.0,0,0,0,0,0,0.0
0.169553,1,1.0,1,1,1,1,1,1.0
0.169553,0,0.0,0,0,0,0,0,0.0
0.169561,1,1.0,1,1,1,1,1,1.0
0.169561,0,0.0,0,0,0,0,0,0.0
0.169948,1,1.0,1,1,1,1,1,1.0
0.169948,0,0.0,0,0,0,0,0,0.0
0.170932,1,1.0,1,1,1,1,1,1.0
0.170932,0,0.0,0,0,0,0,0,0.0
0.17096,1,1.0,1,1,1,1,1,1.0
0.17096,0,0.0,0,0,0,0,0,0.0
0.171466,1,1.0,1,1,1,1,1,1.0
0.171466,0,0.0,0,0,0,0,0,0.0
0.172287,1,1.0,1,1,1,1,1,1.0
0.172287,0,0.0,0,0,0,0,0,0.0
0.172962,1,1.0,1,1,1,1,1,1.0
0.172962,0,0.0,0,0,0,0,0,0.0
0.172964,1,1.0,1,1,1,1,1,1.0
0.172964,0,0.0,0,0,0,0,0,0.0
0.172964,1,1.0,1,1,1,1,1,1.0
0.172964,0,0.0,0,0,0,0,0,0.0
0.172964,1,1.0,1,1,1,1,1,1.0
0.172964,0,0.0,0,0,0,0,0,0.0
0.174976,1,1.0,1,1,1,1,1,1.0
0.174976,0,0.0,0,0,0,0,0,0.0
