Simulation Time,Red_delay,Pie_delay,CoDel_delay,FqCoDel_delay,Cobalt_delay,dAQM9_delay,dAQM10_delay,dAQM11_delay
8.3,1632.53,1567.03,1557.29,1597.34,1602.86,1543.75,1636.87,1636.87
8.4,1668.98,1599.95,1582.09,1625.25,1627.5,1583.5,1670.31,1670.31
8.5,1700.24,1629.44,1608.43,1659.44,1658.23,1621.04,1716.9,1716.9
8.6,1741.72,1661.7,1641.06,1690.03,1716.9,1660.55,1749.19,1749.19
8.7,1762.86,1688.62,1667.37,1719.24,1757.56,1692.71,1775.57,1775.57
8.8,1789.2,1720.31,1704.04,1751.61,1794.47,1729.83,1816.59,1816.59
8.9,1819.72,1749.15,1735.13,1796.77,1831.14,1775.92,1857.95,1857.95
9.0,1853.31,1787.51,1764.43,1824.14,1860.98,1813.93,1908.49,1908.49
9.1,1884.81,1828.21,1794.94,1856.06,1901.87,1842.51,1953.06,1953.06
9.2,1920.19,1870.48,1827.79,1916.74,1935.38,1870.85,1997.73,1997.73
9.3,1959.64,1915.8,1863.22,1953.69,1971.56,1898.26,2041.2,2041.2
9.4,1991.52,1955.41,1901.09,2005.54,2011.75,1929.92,2070.65,2070.65
9.5,2042.68,1989.1,1922.75,2047.36,2060.07,1962.47,2111.3,2111.3
9.6,2095.74,2025.34,1951.08,2082.39,2104.72,1994.99,2158.54,2158.54
9.7,2132.81,2052.95,1986.27,2116.55,2139.69,2022.98,2201.8,2201.8
9.8,2171.72,2087.7,2020.66,2152.47,2183.1,2056.8,2251.4,2251.4
9.9,2211.35,2119.84,2068.0,2184.14,2216.18,2097.38,2296.04,2296.04
10.0,2265.39,2145.56,2107.97,2221.44,2252.83,2126.33,2338.67,2338.67
10.1,2312.3,2174.43,2150.39,2259.2,2304.57,2168.41,2383.68,2383.68
10.2,2360.28,2211.55,2187.0,2292.88,2334.05,2218.07,2417.94,2417.94
10.3,2395.59,2262.02,2215.66,2339.67,2383.42,2244.9,2464.47,2464.47
10.4,2426.15,2287.81,2251.88,2384.14,2413.31,2285.49,2499.84,2499.84
10.5,2461.27,2331.34,2284.44,2413.65,2457.05,2320.37,2536.71,2536.71
10.6,2499.75,2387.26,2329.03,2450.94,2494.6,2348.07,2577.29,2577.29
10.7,2528.83,2451.78,2353.86,2486.82,2524.24,2385.59,2607.72,2607.72
10.8,2578.8,2477.1,2400.77,2518.7,2589.95,2419.61,2639.37,2639.37
10.9,2608.06,2522.31,2438.28,2548.5,2633.36,2459.4,2682.31,2682.31
