Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
6.2,4.82745,5.16286,5.11982,5.00585,5.26052,5.11432,5.11432,5.17236
6.3,4.88517,5.25964,5.21007,5.18657,5.3507,5.20669,5.20669,5.22507
6.4,4.95788,5.38115,5.31925,5.26105,5.41438,5.31968,5.31968,5.27787
6.5,5.05182,5.495,5.39077,5.43036,5.48471,5.40096,5.40096,5.40441
6.6,5.17399,5.58008,5.47075,5.50786,5.55506,5.49238,5.49238,5.46727
6.7,5.26319,5.64862,5.52754,5.57472,5.61136,5.61542,5.61542,5.55248
6.8,5.35987,5.70899,5.61245,5.65287,5.71166,5.71951,5.71951,5.60369
6.9,5.42932,5.75941,5.69212,5.76757,5.77454,5.81318,5.81318,5.68856
7.0,5.52416,5.84767,5.77041,5.88704,5.8495,5.87568,5.87568,5.7699
7.1,5.58282,5.92263,5.84995,5.96175,5.92129,6.00082,6.00082,5.82172
7.2,5.67629,6.03303,6.01176,6.01396,6.06029,6.13519,6.13519,5.88886
7.3,5.75164,6.11453,6.09856,6.08175,6.15479,6.2133,6.2133,6.00362
7.4,5.83647,6.20523,6.15846,6.19425,6.22674,6.28389,6.28389,6.10956
7.5,5.93614,6.27286,6.28521,6.26267,6.29492,6.37836,6.37836,6.16828
7.6,5.99168,6.34715,6.37534,6.31784,6.35735,6.45582,6.45582,6.22042
7.7,6.0686,6.43346,6.4663,6.38351,6.42915,6.54583,6.54583,6.29679
7.8,6.14139,6.51256,6.60096,6.44319,6.53306,6.60859,6.60859,6.41096
7.9,6.2081,6.65074,6.68855,6.49586,6.60985,6.69398,6.69398,6.54749
8.0,6.31861,6.80759,6.76023,6.56324,6.70568,6.81247,6.81247,6.61986
8.1,6.3979,6.86716,6.84487,6.62876,6.81025,6.89709,6.89709,6.74027
8.2,6.48374,7.00453,6.91518,6.69975,6.87945,6.9862,6.9862,6.81516
8.3,6.5448,7.09953,6.99873,6.7811,6.94081,7.07577,7.07577,6.89627
8.4,6.62222,7.1628,7.07494,6.87079,7.05593,7.14943,7.14943,6.98398
8.5,6.71239,7.22105,7.12606,6.95628,7.21454,7.22259,7.22259,7.03106
8.6,6.76538,7.29869,7.24722,7.04559,7.39233,7.32398,7.32398,7.12415
8.7,6.84122,7.36887,7.36658,7.12387,7.50055,7.3906,7.3906,7.21467
8.8,6.93827,7.53991,7.43146,7.20034,7.57154,7.47054,7.47054,7.27357
8.9,6.99318,7.65214,7.54589,7.29463,7.64578,7.52196,7.52196,7.33451
9.0,7.14141,7.70235,7.6239,7.38973,7.75286,7.64437,7.64437,7.42112
9.1,7.47351,7.83113,7.69124,7.51038,7.82428,7.71971,7.71971,7.60642
9.2,7.63357,7.93731,7.85005,7.57936,7.89387,7.79147,7.79147,7.69201
9.3,7.74651,7.98875,7.90518,7.65713,7.98158,7.87103,7.87103,7.75175
9.4,7.87195,8.04787,7.9779,7.75837,8.13457,7.99461,7.99461,7.81574
9.5,7.90258,8.16412,8.15312,7.86254,8.20705,8.07837,8.07837,7.88942
9.6,7.99609,8.2258,8.22402,7.95869,8.28776,8.23819,8.23819,7.98249
9.7,8.09278,8.33454,8.29095,8.02685,8.34207,8.32931,8.32931,8.03175
9.8,8.13562,8.46342,8.45414,8.07854,8.43371,8.4036,8.4036,8.12371
9.9,8.2031,8.52464,8.54629,8.13294,8.51539,8.44775,8.44775,8.17984
10.0,8.30352,8.58613,8.61009,8.22149,8.56817,8.52799,8.52799,8.26561
10.1,8.42377,8.67182,8.6578,8.35263,8.67324,8.61629,8.61629,8.33751
10.2,8.51279,8.77746,8.79567,8.47255,8.74782,8.69794,8.69794,8.4325
10.3,8.63375,8.85748,8.89191,8.529,8.86867,8.76013,8.75657,8.5157
10.4,8.69204,8.9304,8.98764,8.59334,9.02224,8.87798,8.84307,8.61408
10.5,8.76698,9.03364,9.05091,8.63782,9.16977,8.95456,8.94102,8.70204
10.6,8.83831,9.1256,9.15547,8.7118,9.24448,9.09321,9.01116,8.80686
10.7,8.90478,9.18088,9.24066,8.76126,9.30344,9.20338,9.13215,8.87821
10.8,9.0094,9.22703,9.36193,8.80102,9.39057,9.31708,9.22588,8.97822
10.9,9.14251,9.26878,9.45024,8.84643,9.48568,9.4072,9.29633,9.06545
11.0,9.24691,9.34162,9.52116,8.94332,9.5984,9.49407,9.36516,9.1286
11.1,9.38867,9.42939,9.6587,9.04184,9.73593,9.6328,9.46919,9.16567
11.2,9.4892,9.55609,9.84702,9.10138,9.93894,9.76134,9.66078,9.2072
11.3,9.57288,9.61039,9.90787,9.14637,9.98646,9.917,9.71114,9.37363
11.4,9.61719,9.71198,9.97191,9.24783,10.046,10.0574,9.85203,9.44099
11.5,9.7367,9.83529,10.0355,9.30497,10.179,10.1955,10.1302,9.49832
11.6,9.83278,9.94786,10.117,9.39912,10.3035,10.3197,10.2489,9.61221
11.7,9.95417,10.0355,10.2241,9.4322,10.4555,10.3849,10.3266,9.80806
11.8,10.038,10.1793,10.2906,9.46351,10.5888,10.5071,10.4202,9.90935
11.9,10.1052,10.2532,10.3344,9.55206,10.706,10.5838,10.5013,10.0176
12.0,10.1841,10.3953,10.3887,9.60356,10.9095,10.6453,10.5763,10.0994
12.1,10.2388,10.4568,10.4518,9.65916,11.2021,10.8001,10.6404,10.1467
12.2,10.2946,10.5408,10.6704,9.68862,11.4016,10.8541,10.7027,10.2097
12.3,10.3587,10.6036,10.8017,9.72555,11.6033,10.9718,10.8024,10.3331
12.4,10.4512,10.7176,10.851,9.75431,11.716,11.0387,10.9534,10.4064
12.5,10.5579,10.7628,10.9236,9.78232,11.8642,11.1719,11.0395,10.471
12.6,10.6458,10.8105,10.972,9.86544,11.9835,11.2466,11.1593,10.6165
12.7,10.7253,10.9105,11.1013,9.89107,12.0728,11.3204,11.3439,10.7015
12.8,10.7909,10.9968,11.1894,9.92159,12.1224,11.4631,11.4842,10.7889
12.9,10.8991,11.1122,11.3419,9.97792,12.1723,11.5237,11.5679,10.9346
13.0,10.9796,11.2064,11.5268,10.0464,12.2505,11.6186,11.653,11.0369
13.1,11.0662,11.2957,11.6358,10.1073,12.3286,11.724,11.7575,11.102
13.2,11.2015,11.3797,11.8157,10.1551,12.3744,11.8251,11.8453,11.1378
13.3,11.2681,11.5057,11.8922,10.1781,12.4518,11.9236,11.9107,11.3005
13.4,11.3298,11.5845,11.9911,10.238,12.5697,12.06,11.9747,11.4502
13.5,11.3842,11.6497,12.0482,10.2977,12.6469,12.1607,12.1385,11.5481
13.6,11.4402,11.745,12.1284,10.3664,12.7462,12.2109,12.2298,11.7112
13.7,11.5167,11.8096,12.2377,10.393,12.8645,12.2746,12.359,11.8471
13.8,11.5774,11.9635,12.2959,10.4828,12.9299,12.3495,12.5141,12.0368
13.9,11.6612,12.018,12.3981,10.5333,13.0071,12.4403,12.626,12.2078
14.0,11.7658,12.1245,12.6049,10.58,13.1009,12.5521,12.7007,12.275
14.1,11.8126,12.187,12.6972,10.6258,13.1927,12.5969,12.7873,12.3459
14.2,11.8718,12.2118,12.883,10.6786,13.3064,12.7241,12.865,12.3926
14.3,11.9401,12.4449,13.0248,10.7302,13.4087,12.8054,12.9393,12.447
14.4,12.0412,12.5329,13.0941,10.775,13.5467,12.8829,13.0107,12.5975
14.5,12.2485,12.6173,13.2074,10.8748,13.6652,12.9436,13.168,12.6906
14.6,12.264,12.697,13.3252,10.912,13.7651,13.0762,13.2614,12.8177
14.7,12.352,12.8659,13.4064,10.9598,13.8798,13.1618,13.3236,12.9418
14.8,12.3916,12.9101,13.5603,11.0346,13.984,13.2565,13.4523,13.0728
14.9,12.4478,12.9977,13.6806,11.1204,14.0876,13.429,13.49,13.1169
15.0,12.4905,13.073,13.7318,11.1603,14.1592,13.4949,13.5376,13.2218
15.1,12.4908,13.0934,13.9608,11.204,14.2235,13.6101,13.6686,13.3333
