Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
6.2,5.99198,6.02444,6.03453,6.02456,6.02201,6.02381,6.02381,6.02381
6.3,6.09706,6.11017,6.13654,6.12351,6.11753,6.11465,6.11465,6.11465
6.4,6.20967,6.21476,6.23499,6.21448,6.21247,6.21973,6.21973,6.21973
6.5,6.30286,6.32131,6.32944,6.30865,6.30968,6.31177,6.31177,6.31177
6.6,6.42201,6.41252,6.42691,6.42758,6.41335,6.41936,6.41936,6.41936
6.7,6.50893,6.51715,6.52751,6.51405,6.51075,6.53529,6.53529,6.53529
6.8,6.6096,6.63161,6.61782,6.61879,6.62231,6.63419,6.63419,6.63419
6.9,6.71056,6.73391,6.73652,6.72122,6.71913,6.7304,6.7304,6.7304
7.0,6.80395,6.82543,6.83137,6.81643,6.8241,6.83238,6.83238,6.83238
7.1,6.91644,6.92158,6.93602,6.90885,6.93296,6.9219,6.9219,6.9219
7.2,7.0201,7.02556,7.02533,7.00803,7.03817,7.0237,7.0237,7.0237
7.3,7.1157,7.115,7.13371,7.1142,7.12718,7.11951,7.11951,7.11951
7.4,7.20965,7.22118,7.22958,7.21348,7.22264,7.22506,7.22506,7.22506
7.5,7.30562,7.32579,7.32652,7.32705,7.31677,7.32253,7.32253,7.32253
7.6,7.40565,7.41728,7.44195,7.4151,7.41568,7.41866,7.41866,7.41866
7.7,7.49848,7.51934,7.5379,7.5051,7.51375,7.5124,7.5124,7.5124
7.8,7.61436,7.6185,7.63951,7.61229,7.61789,7.6166,7.6166,7.6166
7.9,7.70679,7.70614,7.73659,7.71409,7.72078,7.7323,7.7323,7.7323
8.0,7.81014,7.81152,7.83149,7.8165,7.82668,7.81741,7.81741,7.81741
8.1,7.90913,7.92372,7.93066,7.91681,7.9334,7.91848,7.91848,7.91848
8.2,8.01481,8.01815,8.02142,8.01901,8.02875,8.01758,8.01758,8.01758
8.3,8.1211,8.1283,8.11735,8.11612,8.12842,8.11763,8.11763,8.11763
8.4,8.21882,8.22882,8.23021,8.21452,8.22585,8.22086,8.22086,8.22086
8.5,8.31553,8.316,8.33808,8.33303,8.31887,8.31308,8.31308,8.31308
8.6,8.4041,8.41041,8.43236,8.41775,8.42202,8.40723,8.40723,8.40723
8.7,8.49764,8.51845,8.53429,8.5109,8.52606,8.52126,8.52126,8.52126
8.8,8.61219,8.61442,8.62591,8.60876,8.61755,8.62741,8.62741,8.62741
8.9,8.71916,8.71185,8.73091,8.70465,8.73442,8.72317,8.72317,8.72317
9.0,8.8153,8.82183,8.82766,8.80976,8.82974,8.8231,8.8231,8.8231
9.1,8.91127,8.92393,8.93949,8.91297,8.92026,8.92137,8.92137,8.92137
9.2,9.02212,9.01697,9.04206,9.02264,9.02001,9.01832,9.01832,9.01832
9.3,9.11751,9.11375,9.12489,9.10548,9.12881,9.12033,9.12033,9.12033
9.4,9.21107,9.21859,9.22283,9.21315,9.21899,9.22313,9.22313,9.22313
9.5,9.32011,9.33,9.31766,9.31606,9.32679,9.31238,9.31238,9.31238
9.6,9.42569,9.4151,9.42484,9.40466,9.42551,9.42028,9.42028,9.42028
9.7,9.52585,9.52097,9.52881,9.52664,9.53011,9.51866,9.51866,9.51866
9.8,9.62203,9.61948,9.63056,9.60963,9.63,9.61592,9.61592,9.61592
9.9,9.70996,9.73671,9.72903,9.7217,9.71615,9.72239,9.72239,9.72239
10.0,9.81349,9.83301,9.84181,9.82434,9.82214,9.80848,9.80848,9.80848
10.1,9.90923,9.92019,9.93554,9.91453,9.93122,9.91629,9.91629,9.91629
10.2,10.0044,10.0276,10.0374,10.0306,10.0247,10.0172,10.0172,10.0172
10.3,10.1035,10.1308,10.1381,10.1181,10.1203,10.121,10.121,10.121
10.4,10.2165,10.2167,10.2208,10.2234,10.2238,10.2301,10.2301,10.2301
10.5,10.3145,10.3208,10.3354,10.3327,10.3145,10.3164,10.3164,10.3164
10.6,10.4189,10.4243,10.4295,10.4145,10.4155,10.4205,10.4205,10.4205
10.7,10.5102,10.5222,10.542,10.5269,10.5224,10.5245,10.5245,10.5245
10.8,10.6278,10.6216,10.6269,10.6252,10.6253,10.6346,10.6346,10.6346
10.9,10.7276,10.7251,10.7205,10.7212,10.7257,10.7363,10.7363,10.7363
