Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.0594761,1,1.0,1,1,1,1,1,1.0
0.0594761,0,0.0,0,0,0,0,0,0.0
0.0600998,1,1.0,1,1,1,1,1,1.0
0.0600998,0,0.0,0,0,0,0,0,0.0
0.0604448,1,1.0,1,1,1,1,1,1.0
0.0604448,0,0.0,0,0,0,0,0,0.0
0.0604774,1,1.0,1,1,1,1,1,1.0
0.0604774,0,0.0,0,0,0,0,0,0.0
0.060805,1,1.0,1,1,1,1,1,1.0
0.060805,0,0.0,0,0,0,0,0,0.0
0.0610278,1,1.0,1,1,1,1,1,1.0
0.0610278,0,0.0,0,0,0,0,0,0.0
0.0625491,1,1.0,1,1,1,1,1,1.0
0.0625491,0,0.0,0,0,0,0,0,0.0
0.0626948,1,1.0,1,1,1,1,1,1.0
0.0626948,0,0.0,0,0,0,0,0,0.0
0.0633635,1,1.0,1,1,1,1,1,1.0
0.0633635,0,0.0,0,0,0,0,0,0.0
0.0635671,1,1.0,1,1,1,1,1,1.0
0.0635671,0,0.0,0,0,0,0,0,0.0
0.0645684,1,1.0,1,1,1,1,1,1.0
0.0645684,0,0.0,0,0,0,0,0,0.0
0.0654394,1,1.0,1,1,1,1,1,1.0
0.0654394,0,0.0,0,0,0,0,0,0.0
0.0660173,1,1.0,1,1,1,1,1,1.0
0.0660173,0,0.0,0,0,0,0,0,0.0
0.0664747,1,1.0,1,1,1,1,1,1.0
0.0664747,0,0.0,0,0,0,0,0,0.0
0.0665724,1,1.0,1,1,1,1,1,1.0
0.0665724,0,0.0,0,0,0,0,0,0.0
0.0669343,1,1.0,1,1,1,1,1,1.0
0.0669343,0,0.0,0,0,0,0,0,0.0
0.0672553,1,1.0,1,1,1,1,1,1.0
0.0672553,0,0.0,0,0,0,0,0,0.0
0.0674568,1,1.0,1,1,1,1,1,1.0
0.0674568,0,0.0,0,0,0,0,0,0.0
0.067582,1,1.0,1,1,1,1,1,1.0
0.067582,0,0.0,0,0,0,0,0,0.0
0.0677928,1,1.0,1,1,1,1,1,1.0
0.0677928,0,0.0,0,0,0,0,0,0.0
0.0680683,1,1.0,1,1,1,1,1,1.0
0.0680683,0,0.0,0,0,0,0,0,0.0
0.0681407,1,1.0,1,1,1,1,1,1.0
0.0681407,0,0.0,0,0,0,0,0,0.0
0.0682641,1,1.0,1,1,1,1,1,1.0
0.0682641,0,0.0,0,0,0,0,0,0.0
0.0685985,1,1.0,1,1,1,1,1,1.0
0.0685985,0,0.0,0,0,0,0,0,0.0
0.0686728,1,1.0,1,1,1,1,1,1.0
0.0686728,0,0.0,0,0,0,0,0,0.0
0.0690079,1,1.0,1,1,1,1,1,1.0
0.0690079,0,0.0,0,0,0,0,0,0.0
0.0690954,1,1.0,1,1,1,1,1,1.0
0.0690954,0,0.0,0,0,0,0,0,0.0
0.0693481,1,1.0,1,1,1,1,1,1.0
0.0693481,0,0.0,0,0,0,0,0,0.0
0.0695021,1,1.0,1,1,1,1,1,1.0
0.0695021,0,0.0,0,0,0,0,0,0.0
0.0695994,1,1.0,1,1,1,1,1,1.0
0.0695994,0,0.0,0,0,0,0,0,0.0
0.0697699,1,1.0,1,1,1,1,1,1.0
0.0697699,0,0.0,0,0,0,0,0,0.0
0.0706007,1,1.0,1,1,1,1,1,1.0
0.0706007,0,0.0,0,0,0,0,0,0.0
0.0707032,1,1.0,1,1,1,1,1,1.0
0.0707032,0,0.0,0,0,0,0,0,0.0
0.0708021,1,1.0,1,1,1,1,1,1.0
0.0708021,0,0.0,0,0,0,0,0,0.0
0.0709028,1,1.0,1,1,1,1,1,1.0
0.0709028,0,0.0,0,0,0,0,0,0.0
0.0709691,1,1.0,1,1,1,1,1,1.0
0.0709691,0,0.0,0,0,0,0,0,0.0
0.0720857,1,1.0,1,1,1,1,1,1.0
0.0720857,0,0.0,0,0,0,0,0,0.0
0.0723147,1,1.0,1,1,1,1,1,1.0
0.0723147,0,0.0,0,0,0,0,0,0.0
0.0725707,1,1.0,1,1,1,1,1,1.0
0.0725707,0,0.0,0,0,0,0,0,0.0
0.0726142,1,1.0,1,1,1,1,1,1.0
0.0726142,0,0.0,0,0,0,0,0,0.0
0.0729132,1,1.0,1,1,1,1,1,1.0
0.0729132,0,0.0,0,0,0,0,0,0.0
0.0729925,1,1.0,1,1,1,1,1,1.0
