Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
6.6,0.0,0.621638,0.323416,0.11622,0.945903,0.0205012,0.320848,0.5039
6.7,0.0,0.632658,0.344532,0.12303,0.941155,0.0211644,0.318046,0.506781
6.8,0.0,0.644724,0.367838,0.130609,0.968361,0.0223957,0.318258,0.514556
6.9,0.0,0.654983,0.38578,0.142535,0.960072,0.0232923,0.321843,0.520488
7.0,0.0,0.66313,0.401031,0.149384,1.0075,0.0245042,0.326945,0.521288
7.1,0.0,0.671485,0.425899,0.15755,1.02922,0.0250459,0.334076,0.523742
7.2,0.0,0.679203,0.448922,0.168017,1.04,0.0262791,0.331513,0.528328
7.3,0.0,0.687101,0.475352,0.177696,1.04118,0.0260305,0.329555,0.530761
7.4,0.0,0.693891,0.499587,0.185197,1.02734,0.0261178,0.330393,0.539158
7.5,0.0,0.701183,0.520634,0.196557,1.01808,0.0279416,0.3315,0.550744
7.6,0.0,0.70733,0.537664,0.207799,1.02925,0.0319241,0.334819,0.556131
7.7,0.0,0.713808,0.566807,0.218242,1.04883,0.0324909,0.33714,0.558602
7.8,0.0,0.720271,0.583804,0.227932,1.0729,0.0324387,0.33824,0.561463
7.9,0.0,0.725441,0.614739,0.240568,1.06009,0.0325115,0.341445,0.563915
8.0,0.0,0.735069,0.624568,0.249785,1.06358,0.0329919,0.343693,0.567202
8.1,0.0,0.742386,0.655319,0.261071,1.06731,0.0330318,0.346719,0.573733
8.2,0.0,0.747748,0.684596,0.267996,1.06465,0.0347083,0.349782,0.574264
8.3,0.0,0.752989,0.7057,0.276636,1.05739,0.0361786,0.351752,0.575983
8.4,0.0,0.758395,0.713306,0.279999,1.0998,0.0376622,0.354951,0.57959
8.5,0.0,0.76267,0.729139,0.285612,1.09061,0.0382115,0.358371,0.583504
8.6,0.0,0.766799,0.741311,0.289199,1.10731,0.0381157,0.359556,0.588536
8.7,0.0,0.770929,0.778253,0.291918,1.10456,0.0382367,0.360151,0.59213
8.8,0.0,0.775127,0.787869,0.29435,1.0989,0.0387956,0.362637,0.593614
8.9,0.0,0.778656,0.814904,0.295449,1.10954,0.0388307,0.363661,0.595903
9.0,0.0,0.782248,0.818812,0.297068,1.10791,0.0387248,0.365158,0.600112
9.1,0.0,0.785605,0.831666,0.297192,1.12655,0.0395,0.366607,0.611038
9.2,0.0,0.789172,0.847358,0.298871,1.12373,0.0403857,0.364677,0.613511
9.3,0.0,0.792204,0.861203,0.298637,1.12078,0.0406779,0.365727,0.619263
9.4,0.0,0.795323,0.882615,0.298585,1.12254,0.0414072,0.367943,0.624394
9.5,0.0,0.798254,0.897185,0.298385,1.12665,0.04245,0.370701,0.628789
9.6,0.0,0.801226,0.899494,0.298388,1.12781,0.0429572,0.37251,0.628935
9.7,0.0,0.803956,0.933945,0.298248,1.12359,0.0432095,0.37223,0.628582
9.8,0.0,0.806733,0.951908,0.298037,1.13669,0.0440075,0.373327,0.632711
9.9,0.0,0.809267,0.962625,0.297976,1.13419,0.0441158,0.375501,0.637288
10.0,0.000125,0.811628,0.979827,0.297775,1.13629,0.0438439,0.376415,0.640687
10.1,0.000123457,0.814049,0.989799,0.297794,1.1327,0.0442124,0.378839,0.64363
10.2,0.000120482,0.816544,1.01551,0.298847,1.14294,0.0443519,0.380263,0.647219
10.3,0.000224975,0.818994,1.02863,0.299478,1.14375,0.0443873,0.380639,0.651117
10.4,0.000220019,0.821166,1.04097,0.300948,1.1411,0.0445959,0.3825,0.654033
10.5,0.000339067,0.823257,1.045,0.301481,1.13836,0.0447818,0.383498,0.656001
10.6,0.000471573,0.82528,1.05892,0.301938,1.13929,0.0451756,0.383496,0.65918
10.7,0.000466844,0.827262,1.06333,0.302587,1.1449,0.045309,0.385202,0.66166
10.8,0.000450488,0.829132,1.06,0.303128,1.14343,0.0457283,0.386544,0.664607
10.9,0.000705216,0.830929,1.07597,0.303928,1.14363,0.04576,0.387941,0.665847
11.0,0.00078042,0.832778,1.08135,0.304679,1.14426,0.0461005,0.388308,0.664874
11.1,0.000977892,0.834563,1.09129,0.305577,1.14577,0.0463288,0.38964,0.667393
11.2,0.000962534,0.836113,1.0975,0.305713,1.14686,0.0465063,0.391858,0.670051
11.3,0.00114208,0.837542,1.10067,0.306502,1.14266,0.0470203,0.392115,0.672269
11.4,0.00120563,0.837575,1.10527,0.30813,1.14372,0.0479779,0.393206,0.673687
11.5,0.00150013,0.83611,1.10334,0.308757,1.15039,0.0484645,0.392906,0.674054
11.6,0.00164305,0.833947,1.10749,0.308687,1.14913,0.0483998,0.3938,0.677058
11.7,0.00192095,0.832412,1.11166,0.308264,1.1478,0.0487004,0.395192,0.679769
11.8,0.0022873,0.831503,1.11547,0.312724,1.14641,0.0485458,0.395234,0.679959
11.9,0.00274862,0.830941,1.11472,0.312498,1.14389,0.0492727,0.396675,0.680406
12.0,0.00318153,0.828188,1.12105,0.312398,1.14256,0.0493016,0.397538,0.682815
12.1,0.00375344,0.82569,1.11622,0.317286,1.14023,0.0496811,0.398802,0.682122
12.2,0.00432085,0.824076,1.11049,0.322163,1.13901,0.0498288,0.399361,0.684491
12.3,0.00497266,0.823619,1.10747,0.322369,1.13734,0.0504915,0.399612,0.68504
12.4,0.00575511,0.823125,1.11016,0.32748,1.14186,0.0510276,0.400865,0.687351
12.5,0.00653938,0.822035,1.11959,0.327809,1.13927,0.051121,0.402173,0.689224
12.6,0.00762252,0.820531,1.11907,0.332427,1.13818,0.0515748,0.403422,0.691279
12.7,0.00852987,0.819649,1.11536,0.333539,1.13738,0.052119,0.404357,0.692223
12.8,0.00922668,0.820194,1.11611,0.337388,1.15106,0.0522584,0.405288,0.691214
12.9,0.0101059,0.820708,1.11274,0.337447,1.14896,0.0526734,0.40523,0.6917
13.0,0.0111819,0.821148,1.11174,0.341621,1.15618,0.0528808,0.406947,0.695751
13.1,0.0121457,0.822297,1.10909,0.341413,1.15417,0.0526797,0.407285,0.697721
13.2,0.0131932,0.823493,1.11117,0.344794,1.1523,0.0530798,0.408942,0.698877
13.3,0.0142257,0.824751,1.10736,0.344279,1.15363,0.0533774,0.409176,0.699523
13.4,0.0156292,0.825836,1.1078,0.348489,1.15178,0.0537193,0.410893,0.699824
13.5,0.0169457,0.826856,1.10485,0.348867,1.15008,0.0539546,0.41217,0.701195
13.6,0.0184072,0.828141,1.10759,0.352822,1.14758,0.0542927,0.412891,0.702897
13.7,0.0200133,0.829375,1.10746,0.354146,1.14914,0.0542546,0.414046,0.703764
13.8,0.0213432,0.830373,1.10344,0.358183,1.14605,0.0547826,0.415183,0.704261
13.9,0.0232489,0.831534,1.10153,0.358499,1.15379,0.0551058,0.416218,0.704714
14.0,0.255331,0.982142,1.11278,0.366088,1.15191,0.15975,0.516868,0.870262
14.1,0.257732,0.982637,1.10895,0.365995,1.1505,0.159726,0.517781,0.870234
14.2,0.25999,0.983179,1.11061,0.369417,1.14934,0.160119,0.518026,0.871854
14.3,0.26221,0.983624,1.10867,0.369302,1.14892,0.160305,0.519029,0.873208
14.4,0.264635,0.983221,1.10944,0.369115,1.14621,0.160919,0.519236,0.874806
14.5,0.266997,0.983216,1.11079,0.368703,1.14651,0.162283,0.51909,0.876569
14.6,0.269078,0.982701,1.10929,0.367569,1.14911,0.163784,0.518573,0.879038
14.7,0.271567,0.982752,1.10962,0.36694,1.14672,0.165086,0.518964,0.880096
14.8,0.274139,0.98313,1.11165,0.36669,1.14479,0.166472,0.519648,0.88066
14.9,0.276372,0.983142,1.11311,0.366365,1.143,0.167941,0.519739,0.882555
15.0,0.314267,0.997023,1.11397,0.39779,1.14155,0.199093,0.535988,0.89512
15.1,0.31667,0.997662,1.11512,0.397131,1.13625,0.199841,0.536733,0.895529
15.2,0.319135,0.998362,1.11454,0.396139,1.13549,0.201227,0.536973,0.896439
15.3,0.321278,0.999,1.11627,0.39831,1.13498,0.201876,0.537551,0.898047
15.4,0.32415,0.999643,1.12203,0.397602,1.13245,0.202973,0.537677,0.899356
15.5,0.326487,1.00051,1.12384,0.397076,1.1324,0.204866,0.537976,0.900675
15.6,0.329181,1.00121,1.1281,0.39652,1.13392,0.20567,0.538131,0.900451
