Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
6.2,6.02047,6.02025,6.01933,6.01574,6.01173,6.00317,6.00317,6.00317
6.3,6.1098,6.11339,6.11621,6.10847,6.10724,6.09619,6.09619,6.09619
6.4,6.21253,6.21571,6.21063,6.20737,6.21815,6.19815,6.19815,6.19815
6.5,6.31574,6.31786,6.32462,6.32793,6.31151,6.30613,6.30613,6.30613
6.6,6.41426,6.416,6.42579,6.42148,6.40607,6.41269,6.41269,6.41269
6.7,6.50669,6.51485,6.52716,6.53171,6.51016,6.51559,6.51559,6.51559
6.8,6.6017,6.59945,6.63505,6.6183,6.60845,6.60672,6.60672,6.60672
6.9,6.70998,6.71785,6.73146,6.71392,6.70515,6.71157,6.71157,6.71157
7.0,6.82547,6.81123,6.82242,6.8242,6.80904,6.82225,6.82225,6.82225
7.1,6.93032,6.91954,6.92194,6.9131,6.89773,6.91368,6.91368,6.91368
7.2,7.02251,7.0198,7.0196,7.02222,7.00135,7.00633,7.00633,7.00633
7.3,7.11534,7.11871,7.13223,7.11518,7.10558,7.11046,7.11046,7.11046
7.4,7.21,7.2203,7.23005,7.21797,7.20983,7.21133,7.21133,7.21133
7.5,7.32202,7.31912,7.31555,7.32707,7.30673,7.29879,7.29879,7.29879
7.6,7.41771,7.42539,7.41808,7.42595,7.42204,7.42037,7.42037,7.42037
7.7,7.50844,7.52237,7.51086,7.51312,7.52479,7.52143,7.52143,7.52143
7.8,7.61743,7.60819,7.62027,7.62252,7.61864,7.59799,7.59799,7.59799
7.9,7.71968,7.71563,7.71482,7.71872,7.71892,7.69691,7.69691,7.69691
8.0,7.81547,7.81537,7.81362,7.83515,7.81198,7.81338,7.81338,7.81338
8.1,7.90839,7.9148,7.91619,7.92859,7.91201,7.90522,7.90522,7.90522
8.2,8.01516,8.01881,8.01133,8.03961,8.02619,8.0051,8.0051,8.0051
8.3,8.10072,8.11591,8.10703,8.13248,8.11344,8.10894,8.10894,8.10894
8.4,8.20251,8.20681,8.22311,8.22617,8.20258,8.21556,8.21556,8.21556
8.5,8.31269,8.3131,8.30291,8.31618,8.3084,8.31379,8.31379,8.31379
8.6,8.416,8.40778,8.41814,8.40698,8.40858,8.40962,8.40962,8.40962
8.7,8.52444,8.5125,8.5179,8.50663,8.51224,8.4918,8.4918,8.4918
8.8,8.61983,8.61889,8.62046,8.62536,8.60462,8.60526,8.60526,8.60526
8.9,8.70222,8.72603,8.72135,8.71749,8.7148,8.70431,8.70431,8.70431
9.0,8.79531,8.82651,8.8261,8.82211,8.80571,8.81299,8.81299,8.81299
9.1,8.91622,8.92348,8.91233,8.92221,8.89746,8.91337,8.91337,8.91337
9.2,9.01979,9.02296,9.02144,9.02503,9.01057,9.01739,9.01739,9.01739
9.3,9.12105,9.10901,9.12492,9.12153,9.11493,9.10674,9.10674,9.10674
9.4,9.21761,9.219,9.22503,9.21177,9.21552,9.2039,9.2039,9.2039
9.5,9.32232,9.31005,9.33131,9.31771,9.32668,9.31428,9.31428,9.31428
9.6,9.4132,9.41765,9.41202,9.42594,9.41661,9.42088,9.42088,9.42088
9.7,9.52015,9.52475,9.52378,9.52096,9.51592,9.50691,9.50691,9.50691
9.8,9.63298,9.61083,9.62157,9.61737,9.6209,9.61768,9.61768,9.61768
9.9,9.71579,9.71045,9.7234,9.72727,9.73359,9.71362,9.71362,9.71362
10.0,9.79467,9.81962,9.81119,9.82553,9.81022,9.80833,9.80833,9.80833
10.1,9.90698,9.91414,9.92608,9.92905,9.91872,9.90653,9.90653,9.90653
10.2,10.0077,10.0234,10.0164,10.0303,10.0167,10.012,10.012,10.012
10.3,10.1091,10.1217,10.1249,10.1274,10.1127,10.1053,10.1053,10.1053
10.4,10.2108,10.2187,10.2308,10.2111,10.1955,10.2006,10.2006,10.2006
10.5,10.325,10.3136,10.3272,10.31,10.3056,10.3123,10.3123,10.3123
10.6,10.433,10.4138,10.4267,10.4189,10.4171,10.4045,10.4045,10.4045
10.7,10.5256,10.5168,10.5211,10.5086,10.5123,10.4957,10.4957,10.4957
10.8,10.62,10.6255,10.6264,10.6053,10.6124,10.606,10.606,10.606
10.9,10.7259,10.7234,10.729,10.7155,10.7054,10.7124,10.7124,10.7124
