Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
6.2,5.09791,5.01945,5.04784,5.05955,5.03343,5.02121,5.02121,5.13745
6.3,5.18915,5.10322,5.1183,5.14191,5.15308,5.0768,5.0768,5.19821
6.4,5.29015,5.24808,5.2146,5.20353,5.22003,5.13144,5.13144,5.25347
6.5,5.37426,5.41731,5.3566,5.31414,5.33952,5.18214,5.18214,5.33496
6.6,5.4516,5.48815,5.4181,5.41395,5.49482,5.27349,5.27349,5.47039
6.7,5.5199,5.54526,5.488,5.51974,5.55992,5.33869,5.33869,5.54535
6.8,5.59433,5.64917,5.61521,5.57343,5.63153,5.40842,5.40842,5.64931
6.9,5.67573,5.72489,5.70281,5.65901,5.71428,5.46741,5.46741,5.73151
7.0,5.76373,5.77485,5.77327,5.77844,5.77551,5.55797,5.55797,5.82224
7.1,5.83323,5.86526,5.82582,5.90332,5.87052,5.66182,5.66182,5.89219
7.2,5.89498,5.96215,5.92916,5.97618,5.99066,5.70825,5.70825,5.94385
7.3,5.9937,6.07243,6.00557,6.07757,6.08056,5.79329,5.79329,6.06087
7.4,6.06288,6.19021,6.08933,6.12211,6.15112,5.85506,5.85506,6.13359
7.5,6.21826,6.2767,6.16271,6.25815,6.23986,5.93225,5.93225,6.19481
7.6,6.32659,6.36167,6.22855,6.31724,6.35009,6.00392,6.00392,6.25318
7.7,6.41762,6.45719,6.29787,6.37645,6.42859,6.07669,6.07669,6.31475
7.8,6.5024,6.5311,6.37656,6.45678,6.47998,6.15368,6.15368,6.42422
7.9,6.55689,6.65061,6.45739,6.55206,6.57395,6.22566,6.22566,6.47512
8.0,6.66184,6.71505,6.52032,6.64435,6.66118,6.28396,6.28396,6.55174
8.1,6.71374,6.84134,6.57254,6.80594,6.76266,6.38162,6.38162,6.64688
8.2,6.79642,6.89372,6.68225,6.86842,6.87896,6.48575,6.48575,6.7558
8.3,6.8801,6.95649,6.75566,6.97246,6.94905,6.58336,6.58336,6.82235
8.4,6.96154,7.04506,6.89201,7.04157,7.05674,6.63993,6.63993,6.88944
8.5,7.0397,7.14023,6.97658,7.08087,7.11295,6.77137,6.77137,6.97883
8.6,7.12112,7.22084,7.10144,7.21473,7.209,6.87976,6.87976,7.08917
8.7,7.21836,7.28739,7.16016,7.2948,7.2636,7.00046,7.00046,7.26728
8.8,7.33253,7.3798,7.26558,7.36652,7.34225,7.06567,7.06567,7.35874
8.9,7.44601,7.48475,7.3554,7.43799,7.46178,7.20876,7.20876,7.43838
9.0,7.49961,7.58747,7.41622,7.50896,7.57247,7.25512,7.25512,7.54058
9.1,7.60686,7.80548,7.69006,7.68542,7.68249,7.62938,7.62938,7.64303
9.2,7.72874,7.92542,7.7551,7.73299,7.7881,7.68226,7.68226,7.78408
9.3,7.78701,8.00298,7.84374,7.81624,7.85508,7.75829,7.75829,7.86333
9.4,7.832,8.11102,7.9112,7.95751,7.90693,7.8566,7.8566,7.92806
9.5,7.96455,8.20116,8.09315,8.02428,7.9699,7.93361,7.93361,8.04478
9.6,8.02573,8.25735,8.16603,8.09408,8.12845,8.06324,8.06324,8.16577
9.7,8.08093,8.36919,8.25039,8.15212,8.17969,8.15964,8.15964,8.21678
9.8,8.17292,8.43405,8.34551,8.22307,8.31457,8.21486,8.21486,8.30886
9.9,8.2155,8.55113,8.48031,8.36542,8.42017,8.28291,8.28291,8.38264
10.0,8.28929,8.64322,8.56803,8.49418,8.49924,8.35288,8.35288,8.43884
10.1,8.4336,8.72392,8.69744,8.59745,8.57716,8.45497,8.45497,8.52897
10.2,8.5547,8.82835,8.779,8.69448,8.6606,8.52766,8.52766,8.59139
10.3,8.63952,8.91264,8.84388,8.75602,8.72951,8.61602,8.61602,8.64669
10.4,8.78102,8.99392,8.91219,8.8509,8.86173,8.7248,8.7248,8.76033
10.5,8.87802,9.09465,9.03238,8.91983,8.99002,8.82428,8.82428,8.84812
10.6,8.98309,9.19011,9.08409,9.03174,9.1044,8.88572,8.88572,8.92186
10.7,9.05221,9.27476,9.16453,9.09832,9.18393,8.96555,8.96555,9.02546
10.8,9.18863,9.36145,9.26481,9.2264,9.29107,9.03902,9.03902,9.08887
10.9,9.30428,9.4445,9.35896,9.26896,9.39238,9.08775,9.08775,9.22505
11.0,9.36624,9.53357,9.42678,9.30716,9.4845,9.20121,9.20121,9.29633
11.1,9.45516,9.64592,9.47496,9.34799,9.60138,9.29495,9.29495,9.38767
11.2,9.50639,9.71909,9.61295,9.39108,9.66193,9.38594,9.38594,9.4816
11.3,9.58919,9.78987,9.66551,9.47592,9.75861,9.47639,9.47875,9.5174
11.4,9.66199,9.84553,9.76832,9.51266,9.86618,9.5236,9.53249,9.598
