Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
6.5,0.0,0.575623,0.273602,0.100668,0.941122,0.0167601,0.259714,0.462075
6.6,0.0,0.593805,0.289321,0.107914,0.954242,0.0170557,0.259997,0.471535
6.7,0.0,0.604959,0.307342,0.117176,0.940472,0.0185922,0.263563,0.486491
6.8,0.0,0.617128,0.340346,0.123719,0.958568,0.0199603,0.267691,0.500007
6.9,0.0,0.628543,0.352169,0.13052,0.985486,0.0213198,0.272928,0.506512
7.0,0.0,0.638248,0.371724,0.135933,0.974915,0.0233608,0.280362,0.511106
7.1,0.0,0.64664,0.394338,0.14655,1.00692,0.0242424,0.283324,0.509352
7.2,0.0,0.654579,0.41592,0.156012,0.997735,0.0243222,0.287535,0.510426
7.3,0.0,0.662342,0.437125,0.163808,1.00758,0.0254964,0.292208,0.513316
7.4,0.0,0.669516,0.453046,0.17041,1.00216,0.0254713,0.289198,0.518831
7.5,0.0,0.676816,0.463676,0.184115,1.02254,0.0253994,0.284755,0.52391
7.6,0.0,0.683232,0.498341,0.192327,1.02262,0.0252301,0.284581,0.533076
7.7,0.0,0.689285,0.524586,0.202795,1.04511,0.0250755,0.285474,0.536406
7.8,0.0,0.6952,0.552415,0.21238,1.05368,0.0251831,0.28857,0.539792
7.9,0.0,0.701007,0.572196,0.221129,1.06815,0.0263192,0.290745,0.548558
8.0,0.0,0.706922,0.589807,0.229902,1.05523,0.0268757,0.292156,0.552787
8.1,0.0,0.712291,0.599815,0.239953,1.08202,0.0278482,0.294969,0.551767
8.2,0.0,0.717615,0.642559,0.247239,1.08072,0.0283271,0.299451,0.557232
8.3,0.0,0.722528,0.659039,0.255861,1.07537,0.0283525,0.301085,0.564474
8.4,0.0,0.727269,0.680924,0.260348,1.07311,0.0287145,0.302289,0.571634
8.5,0.0,0.731258,0.697134,0.263004,1.07291,0.029314,0.303985,0.578961
8.6,0.0,0.735617,0.706035,0.266126,1.08455,0.0305503,0.308164,0.581842
8.7,0.0,0.739722,0.718819,0.268083,1.08627,0.0312208,0.310984,0.585622
8.8,0.0,0.743595,0.730945,0.270691,1.09267,0.0318764,0.314019,0.589155
8.9,0.0,0.747692,0.751435,0.271568,1.09492,0.03281,0.315747,0.5952
9.0,0.0,0.751261,0.763842,0.273147,1.09659,0.0329491,0.3187,0.598629
9.1,0.0,0.764632,0.785613,0.272918,1.09437,0.0331169,0.335883,0.598102
9.2,0.0,0.773075,0.793942,0.272761,1.11395,0.0334728,0.338447,0.598956
9.3,0.0,0.776199,0.807055,0.272615,1.11859,0.0343502,0.340897,0.601302
9.4,0.0,0.779484,0.823403,0.272417,1.11001,0.035115,0.343435,0.604877
9.5,0.0,0.782571,0.849947,0.272334,1.11804,0.0352682,0.344951,0.609377
9.6,0.0,0.785548,0.857066,0.272342,1.11855,0.0353933,0.347062,0.613856
9.7,0.000125,0.788524,0.880422,0.272352,1.1178,0.0358873,0.348287,0.618449
9.8,0.000123457,0.79145,0.894374,0.27247,1.11425,0.0365287,0.347618,0.619237
9.9,0.000121951,0.794229,0.90273,0.272462,1.11643,0.0371528,0.349534,0.621252
10.0,0.000323876,0.796905,0.929871,0.273087,1.11776,0.0376322,0.351216,0.623481
10.1,0.000317924,0.799455,0.948386,0.273397,1.11898,0.0377511,0.35308,0.627952
10.2,0.000447377,0.802128,0.9636,0.274476,1.12274,0.0381862,0.355688,0.632068
10.3,0.000436372,0.804646,0.980457,0.275288,1.12107,0.0386877,0.357165,0.632218
10.4,0.000424304,0.807224,0.99327,0.27568,1.12221,0.0393747,0.359617,0.636015
10.5,0.000414271,0.809439,1.00516,0.276933,1.12262,0.0399759,0.362697,0.639915
10.6,0.000407419,0.811634,1.00601,0.278806,1.12479,0.0406381,0.364508,0.642788
10.7,0.000675281,0.813719,1.02177,0.279904,1.12331,0.0407096,0.365224,0.644669
10.8,0.000759333,0.815713,1.02458,0.281114,1.12423,0.0414206,0.3669,0.647368
10.9,0.000745992,0.817772,1.02924,0.282416,1.12554,0.0416625,0.367864,0.650738
11.0,0.000999524,0.819436,1.03365,0.284299,1.12556,0.0423301,0.369985,0.654489
11.1,0.000983017,0.819554,1.03276,0.284554,1.12744,0.042674,0.371086,0.658243
11.2,0.00104955,0.819865,1.03767,0.284202,1.1276,0.043618,0.37214,0.659984
11.3,0.00102475,0.820836,1.04099,0.284017,1.12821,0.0441506,0.373212,0.662754
11.4,0.00127296,0.821018,1.04607,0.284766,1.12942,0.0445244,0.372907,0.665375
11.5,0.0013332,0.821028,1.04725,0.284961,1.12836,0.0446172,0.374426,0.667059
11.6,0.00172178,0.821367,1.04572,0.285451,1.12905,0.0452482,0.375129,0.669052
11.7,0.00193875,0.820907,1.05125,0.286194,1.13272,0.045634,0.375774,0.671698
11.8,0.0021579,0.820217,1.05256,0.286478,1.13335,0.0461254,0.376263,0.674605
11.9,0.002453,0.820421,1.05311,0.2869,1.13257,0.046507,0.376734,0.67672
12.0,0.00297311,0.821369,1.0505,0.287353,1.13058,0.0468805,0.377881,0.677556
12.1,0.00341026,0.825815,1.04805,0.287552,1.12681,0.0474565,0.377745,0.679431
12.2,0.00374768,0.828235,1.04553,0.287922,1.12739,0.0476114,0.378272,0.685253
12.3,0.00443669,0.829214,1.04233,0.287886,1.12586,0.0482933,0.378905,0.68687
12.4,0.00497552,0.830534,1.04356,0.288413,1.12366,0.0484568,0.378482,0.688459
12.5,0.0056341,0.831935,1.0408,0.289239,1.12271,0.0489314,0.378867,0.688675
12.6,0.006205,0.833134,1.05164,0.290292,1.11938,0.0491736,0.380066,0.690175
12.7,0.00695809,0.833644,1.04884,0.290577,1.11747,0.0491595,0.381578,0.6924
12.8,0.00775098,0.833426,1.04763,0.291429,1.12468,0.049619,0.384191,0.693417
12.9,0.0085038,0.833782,1.04789,0.291287,1.13249,0.0499736,0.384664,0.694794
13.0,0.00908707,0.834499,1.04438,0.291222,1.13127,0.0502359,0.385632,0.696563
13.1,0.00995277,0.835136,1.04598,0.291254,1.13031,0.0506076,0.386692,0.698354
13.2,0.0109843,0.836026,1.04329,0.291552,1.13292,0.0511307,0.387444,0.700525
13.3,0.0120334,0.837173,1.04346,0.295938,1.13488,0.0513827,0.388353,0.701927
13.4,0.0129224,0.838244,1.04367,0.296295,1.1409,0.0516461,0.38901,0.702519
13.5,0.0139643,0.839483,1.04182,0.296008,1.14039,0.0519223,0.390126,0.704849
13.6,0.0153015,0.840183,1.04059,0.299333,1.14772,0.0524603,0.391009,0.706339
13.7,0.0165193,0.840006,1.0431,0.298959,1.14691,0.0527126,0.391674,0.705616
13.8,0.0177067,0.83972,1.04342,0.298395,1.14644,0.0528318,0.393164,0.705857
13.9,0.0190232,0.839047,1.04309,0.298194,1.14624,0.0537388,0.393065,0.707178
14.0,0.169174,1.01772,1.04748,0.306364,1.147,0.260382,0.599141,0.863766
14.1,0.170756,1.01777,1.04557,0.308937,1.14188,0.26055,0.60006,0.864948
14.2,0.172196,1.01831,1.04535,0.308269,1.13777,0.260653,0.600705,0.86661
14.3,0.173849,1.01912,1.04623,0.307804,1.13401,0.26078,0.601492,0.867842
14.4,0.174784,1.02022,1.04666,0.307318,1.13311,0.260843,0.602192,0.869663
14.5,0.176141,1.02142,1.045,0.307282,1.13101,0.260906,0.60257,0.871474
14.6,0.177785,1.02253,1.049,0.30668,1.1349,0.26123,0.603187,0.872828
14.7,0.180356,1.02359,1.0497,0.306208,1.13384,0.261858,0.602822,0.873199
14.8,0.182853,1.02467,1.05273,0.305953,1.13208,0.262263,0.603691,0.874691
14.9,0.184952,1.02574,1.05519,0.305816,1.12912,0.263667,0.604855,0.876509
15.0,0.238487,1.06968,1.05736,0.346676,1.12717,0.298393,0.623959,0.890746
