Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
6.6,0.0,0.680417,0.427903,0.184787,0.961957,0.0255599,0.336297,0.679221
6.7,0.0,0.691741,0.446851,0.192131,0.984447,0.0262373,0.342758,0.689679
6.8,0.0,0.702212,0.474984,0.198524,0.975374,0.0270547,0.347218,0.691842
6.9,0.0,0.712153,0.488679,0.20636,0.987772,0.0271838,0.348285,0.699411
7.0,0.0,0.721763,0.49749,0.213436,0.986376,0.0282739,0.352928,0.710988
7.1,0.0,0.730276,0.528388,0.219778,0.996568,0.028668,0.355253,0.718366
7.2,0.0,0.738898,0.540665,0.224597,0.991651,0.0289722,0.359938,0.721786
7.3,0.0,0.74667,0.555178,0.229182,1.01086,0.0296572,0.36217,0.721878
7.4,0.0,0.754493,0.589931,0.234808,1.01282,0.0304418,0.364515,0.724318
7.5,0.0,0.761917,0.598351,0.238632,1.03432,0.0305832,0.367666,0.734087
7.6,0.0,0.768502,0.628814,0.241658,1.02895,0.0329275,0.370837,0.739056
7.7,0.0,0.774523,0.642752,0.244524,1.02432,0.0338612,0.374228,0.744125
7.8,0.0,0.780954,0.658181,0.249179,1.04127,0.0344439,0.379134,0.749727
7.9,0.0,0.78688,0.67908,0.252529,1.05176,0.0356757,0.382277,0.754461
8.0,0.0,0.792659,0.689987,0.257179,1.06629,0.0360201,0.384857,0.760958
8.1,0.0,0.79837,0.700532,0.260486,1.06669,0.0367659,0.386229,0.764832
8.2,0.0,0.803526,0.725821,0.264158,1.06077,0.037628,0.387269,0.76701
8.3,0.0,0.808603,0.728795,0.265925,1.05777,0.03828,0.38858,0.77233
8.4,0.0,0.813427,0.738506,0.267859,1.06119,0.0389803,0.391051,0.773533
8.5,0.0,0.817647,0.764151,0.270022,1.06007,0.0397191,0.391478,0.774295
8.6,0.0,0.821894,0.772275,0.271341,1.08194,0.0403431,0.393156,0.778479
8.7,0.0,0.8264,0.806895,0.271825,1.08012,0.040626,0.395887,0.783258
8.8,0.0,0.830663,0.810442,0.273094,1.07391,0.0414422,0.397539,0.787855
