Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM1_plr,dAQM2_plr,dAQM3_plr,dAQM4_plr,dAQM5_plr,dAQM6_plr,dAQM7_plr,dAQM8_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
4.2,0,0.0332731,0.0131868,0.0141491,0.119697,0.0424125,0.0320939,0.0302789,0.0353167,0.039759,0.044358,0.0422481,0.0458252,0.0,0.0115308,0.0426295
4.3,0,0.0371025,0.0160291,0.0164436,0.119697,0.0428016,0.0324853,0.0306773,0.0357006,0.040481,0.0447471,0.0426357,0.0462136,0.0,0.0114398,0.0430279
4.4,0,0.0410345,0.0185792,0.0191205,0.119849,0.0428016,0.0324853,0.0306773,0.0357006,0.040481,0.0447471,0.04294,0.0462136,0.0,0.0112621,0.0430279
4.5,0,0.0445194,0.020765,0.0214149,0.119849,0.0428016,0.0328767,0.0305556,0.0357006,0.0408818,0.0451362,0.0433269,0.0466019,0.0,0.0112621,0.0430279
4.6,0,0.0481054,0.0233151,0.0248566,0.119849,0.0431907,0.0328767,0.0297297,0.0350282,0.0408818,0.0451362,0.0433269,0.0466019,0.0,0.0112621,0.0430279
4.7,0,0.0512903,0.0265938,0.0279159,0.119849,0.0431907,0.0340426,0.0291115,0.0344444,0.0412826,0.0455253,0.0433269,0.0469903,0.0,0.0112621,0.0434263
4.8,0,0.0543444,0.0298725,0.0313576,0.119849,0.0435798,0.033145,0.0286778,0.0338798,0.0416,0.0455253,0.0437137,0.0472868,0.0,0.0112403,0.0437376
4.9,0,0.0574961,0.0335155,0.0347992,0.103934,0.0438835,0.033145,0.0286778,0.0333932,0.0416,0.0462136,0.0437137,0.0476744,0.0,0.0112403,0.0437376
5.0,0,0.060303,0.0367942,0.0386233,0.103089,0.0442718,0.033145,0.0286778,0.0328622,0.042,0.0462136,0.0444015,0.0479691,0.0,0.0112403,0.0437376
5.1,0,0.0526706,0.0340012,0.0388619,0.0849411,0.0402471,0.0276208,0.0238982,0.0298747,0.035,0.0385113,0.0370013,0.0402966,0.0,0.00936693,0.0367793
5.2,0,0.0548278,0.0373406,0.0388041,0.083597,0.0406002,0.0276208,0.0238982,0.0273852,0.035,0.038835,0.037323,0.0402966,0.0,0.00936693,0.0367793
5.3,0,0.0569048,0.0409836,0.0423028,0.0830713,0.0372168,0.0276208,0.0238982,0.0273852,0.035,0.038835,0.037323,0.0402966,0.0,0.00936693,0.0367793
5.4,0,0.059057,0.044323,0.0454835,0.0816589,0.0372168,0.0276208,0.0238982,0.0273852,0.035,0.038835,0.037323,0.0402966,0.0,0.00936693,0.0367793
5.5,0,0.0609812,0.0478788,0.0502545,0.0807849,0.0372168,0.0276208,0.0238982,0.0273852,0.0369316,0.038835,0.037323,0.0402966,0.0,0.00933076,0.0371107
5.6,0,0.0628378,0.05,0.052799,0.0800505,0.0372168,0.0276208,0.0238982,0.0273852,0.0411571,0.038835,0.037323,0.0402966,0.0,0.00933076,0.0371107
5.7,0,0.0647657,0.0560606,0.052799,0.079384,0.0372168,0.0281491,0.0238095,0.0273852,0.0466335,0.0429672,0.037323,0.0402966,0.0,0.00933076,0.0371107
5.8,0,0.0664928,0.0584848,0.0530578,0.0794229,0.0372168,0.0315028,0.0247899,0.0273852,0.0496399,0.0477002,0.037323,0.0402966,0.0,0.00925926,0.0371107
5.9,0,0.0692427,0.0584848,0.0533056,0.0788746,0.0372168,0.0336999,0.0302298,0.0273852,0.049284,0.0495187,0.037323,0.0402966,0.0,0.00925926,0.0371107
6.0,0,0.0717614,0.0584848,0.0537925,0.0790539,0.0372168,0.0335821,0.0361636,0.0273852,0.0507075,0.0496708,0.0389773,0.0402966,0.0,0.0126169,0.0404207
6.1,0,0.0637498,0.0503384,0.0467668,0.0678402,0.0319001,0.0310783,0.0324136,0.023473,0.0476771,0.047229,0.0419611,0.0371616,0.0,0.0148474,0.0426518
6.2,0,0.067944,0.0512751,0.0479371,0.0694682,0.0319001,0.0352315,0.0331243,0.0270408,0.0542876,0.0578692,0.0530231,0.0440222,0.0,0.0172257,0.0543203
6.3,0,0.0735599,0.0530588,0.0491811,0.071263,0.0319001,0.0380078,0.0405343,0.0355265,0.0599505,0.0670682,0.059672,0.0547215,0.000322477,0.0204577,0.0670531
6.4,0,0.0811649,0.0550447,0.0507971,0.0737056,0.0319001,0.0424777,0.0532852,0.0427991,0.0630172,0.0692739,0.0619208,0.0594055,0.000948407,0.0214876,0.0801779
6.5,0,0.0889171,0.0574157,0.0532737,0.0764048,0.0319001,0.0493717,0.058285,0.0448067,0.0648389,0.0697852,0.0627223,0.0609885,0.00116413,0.0225265,0.0863976
6.6,0,0.0984882,0.0602816,0.0562166,0.080006,0.0319001,0.0547368,0.0587491,0.0476354,0.0711648,0.0709977,0.0692877,0.0783579,0.00214963,0.0268184,0.0896622
6.7,0,0.103256,0.0631427,0.0605081,0.084396,0.0319001,0.0563102,0.0613556,0.052366,0.0801482,0.0743976,0.0808737,0.0910639,0.00247522,0.0317598,0.0929936
6.8,0,0.113654,0.0679372,0.0651477,0.0881323,0.0319001,0.0563347,0.066683,0.0637774,0.0855313,0.0794585,0.0892077,0.0959832,0.00301299,0.0351163,0.0997652
6.9,0,0.125897,0.0716885,0.0702821,0.0935349,0.0318383,0.0584804,0.0760797,0.0746967,0.0841609,0.0846015,0.0954035,0.0981217,0.00294894,0.0404645,0.107904
7.0,0,0.144047,0.0763056,0.075097,0.0996425,0.0318383,0.0606724,0.0845594,0.0758186,0.08306,0.0928916,0.0992196,0.103154,0.00324685,0.0445086,0.116583
7.1,0,0.138771,0.0734983,0.069536,0.0905518,0.0278585,0.0545557,0.0781206,0.0679585,0.0733247,0.0906501,0.0882396,0.0942123,0.00293863,0.0432613,0.110997
7.2,0,0.151705,0.0751702,0.0734065,0.0973675,0.0278585,0.0592015,0.0828748,0.0729797,0.0798326,0.0924003,0.0943621,0.0995897,0.00321295,0.0480834,0.116786
