Simulation Time,Red_th,Pie_th,CoDel_th,FqCoDel_th,Cobalt_th,dAQM9_th,dAQM10_th,dAQM11_th
6.3,27.2033,27.5418,25.4622,27.3802,27.4025,27.268,27.3846,27.3846
6.4,27.6151,27.9656,26.0198,27.9297,27.917,27.6968,27.9048,27.9048
6.5,28.1312,28.4297,26.4024,28.3762,28.4123,28.1149,28.3723,28.3723
6.6,28.5073,28.8539,26.8701,28.8077,28.8742,28.5796,28.832,28.832
6.7,28.9699,29.2671,27.282,29.2521,29.2579,29.0253,29.2146,29.2146
6.8,29.3571,29.6462,27.7429,29.6783,29.7425,29.4324,29.6314,29.6314
6.9,29.8169,30.0593,28.1595,30.063,30.0778,29.8581,30.022,30.022
7.0,30.2112,30.4611,28.5988,30.4705,30.5112,30.1874,30.4236,30.4236
7.1,30.5513,30.826,28.994,30.91,30.8915,30.6181,30.8241,30.8241
7.2,30.9477,31.1868,29.426,31.2673,31.2572,30.9333,31.1784,31.1784
7.3,31.2566,31.5749,29.7686,31.6443,31.5591,31.3676,31.488,31.488
7.4,31.6478,31.8763,30.0715,31.9321,31.9218,31.7171,31.7385,31.7385
7.5,31.9448,32.2241,30.4543,32.2425,32.2742,32.0602,32.1226,32.1226
7.6,32.2972,32.5175,30.8367,32.5645,32.6585,32.403,32.4723,32.4723
7.7,32.6447,32.8773,31.1888,32.874,32.9378,32.6924,32.811,32.811
7.8,32.9649,33.1956,31.5485,33.3105,33.2827,33.0096,33.1817,33.1817
7.9,33.3797,33.4832,31.8527,33.6082,33.6442,33.3472,33.5077,33.5077
8.0,33.7064,33.8362,32.1579,33.9613,33.9322,33.6992,33.8019,33.8019
8.1,34.0431,34.1909,32.4927,34.253,34.1903,33.9743,34.0916,34.0916
8.2,34.4212,34.5403,32.806,34.5817,34.5136,34.2903,34.416,34.416
8.3,34.7042,34.9087,33.0453,34.8311,34.7336,34.601,34.6603,34.6603
8.4,34.9024,35.2452,33.3745,35.2549,35.0667,34.8386,34.93,34.93
8.5,35.2603,35.5443,33.7429,35.5342,35.4112,35.174,35.1953,35.1953
8.6,35.5853,35.7831,34.0454,35.888,35.6606,35.4185,35.4825,35.4825
8.7,35.7144,36.144,34.3895,36.1043,35.9263,35.6248,35.8958,35.8958
8.8,36.0104,36.3281,34.6207,36.4697,36.2293,35.8244,36.1274,36.1274
8.9,36.3113,36.6683,34.9545,36.7386,36.5223,36.0787,36.3674,36.3674
9.0,36.6312,36.94,35.2773,37.1222,36.8238,36.3307,36.7201,36.7201
9.1,36.884,37.155,35.5283,37.3771,37.0496,36.5878,36.9088,36.9088
9.2,37.1605,37.3366,35.8037,37.5352,37.2902,36.8718,37.0835,37.0835
9.3,37.4084,37.624,36.0964,37.7002,37.4916,37.1408,37.3444,37.3444
9.4,37.61,37.9476,36.2522,37.9254,37.7609,37.3713,37.5872,37.5872
9.5,37.8738,38.3353,36.5539,38.1833,37.9661,37.6938,37.7741,37.7741
9.6,38.0739,38.6349,36.8103,38.466,38.1093,37.9455,38.0097,38.0097
9.7,38.1165,38.7881,37.0227,38.738,38.4255,38.2025,38.3024,38.3024
9.8,38.4138,38.9823,37.2699,38.9058,38.7093,38.4255,38.4284,38.4284
9.9,38.6416,39.2425,37.4419,39.1126,38.9645,38.6043,38.5393,38.5393
10.0,38.7422,39.4524,37.6407,39.2405,39.2849,38.8287,38.6767,38.6767
10.1,38.929,39.6121,37.7924,39.3893,39.388,39.0533,38.7893,38.7893
10.2,39.1566,39.7035,38.0298,39.6123,39.6468,39.191,38.8926,38.8926
10.3,39.307,39.8722,38.2147,39.8848,39.6999,39.4129,38.9894,38.9894
10.4,39.5352,40.1002,38.3885,39.9336,39.8391,39.5616,39.1265,39.1265
10.5,39.7842,40.2022,38.6032,40.1533,39.9098,39.73,39.2586,39.2586
10.6,40.0045,40.378,38.6587,40.2969,40.0417,39.933,39.467,39.467
10.7,40.239,40.2573,38.7658,40.448,40.2977,40.1442,39.6969,39.6969
10.8,40.2766,40.4255,39.0291,40.7126,40.4294,40.366,39.8858,39.8858
10.9,40.4608,40.2796,39.2386,40.9567,40.6247,40.6024,40.1002,40.1002
