Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
6.2,5.17149,5.0243,5.20179,5.02226,4.85127,5.22672,5.11684,5.11684
6.3,5.24215,5.09898,5.3373,5.14371,4.92238,5.29493,5.17969,5.17969
6.4,5.30025,5.20121,5.42987,5.29454,5.01144,5.37203,5.26719,5.26719
6.5,5.38712,5.3201,5.50014,5.37663,5.06831,5.43589,5.32354,5.32354
6.6,5.45107,5.4175,5.57865,5.43242,5.1266,5.51469,5.46104,5.46104
6.7,5.52876,5.49718,5.65785,5.54258,5.2167,5.59688,5.51276,5.51276
6.8,5.6142,5.58122,5.77202,5.62141,5.28281,5.7049,5.62324,5.62324
6.9,5.73019,5.63398,5.83014,5.71951,5.36741,5.78022,5.72628,5.72628
7.0,5.78201,5.74404,5.91167,5.82723,5.46698,5.89355,5.79307,5.79307
7.1,5.842,5.8053,5.97585,5.9123,5.55374,5.95569,5.83879,5.83879
7.2,5.90435,5.85942,6.05579,6.07335,5.64442,6.05047,5.92063,5.92063
7.3,5.98706,5.95528,6.13273,6.12341,5.72908,6.12509,6.01535,6.01535
7.4,6.07973,6.03706,6.21682,6.17786,5.82609,6.19325,6.10404,6.10404
7.5,6.15032,6.15236,6.28497,6.27026,5.94033,6.29814,6.18711,6.18711
7.6,6.21613,6.20797,6.44321,6.33761,6.02573,6.37923,6.35512,6.35512
7.7,6.31534,6.28287,6.54429,6.41361,6.0977,6.43639,6.44133,6.44133
7.8,6.36753,6.34836,6.62577,6.55915,6.17083,6.49581,6.55624,6.55624
7.9,6.46836,6.44195,6.70167,6.6436,6.2377,6.56899,6.60371,6.60371
8.0,6.56156,6.54897,6.83309,6.70572,6.32204,6.67423,6.7295,6.7295
8.1,6.62443,6.6297,6.91868,6.76868,6.43264,6.79803,6.82593,6.82593
8.2,6.68278,6.69295,6.98129,6.86055,6.48041,6.87796,6.89196,6.89196
8.3,6.77736,6.76552,7.04293,6.91348,6.53949,6.95385,7.00396,7.00396
8.4,6.90621,6.85451,7.09585,6.98655,6.63371,7.01434,7.05538,7.05538
8.5,6.98125,6.96201,7.19484,7.05693,6.72198,7.09408,7.12578,7.12578
8.6,7.02675,7.03101,7.25076,7.13281,6.8137,7.15649,7.22582,7.22582
8.7,7.14999,7.10989,7.33695,7.20246,6.88889,7.21063,7.29908,7.29908
8.8,7.25107,7.24371,7.40311,7.26585,6.95825,7.37349,7.38315,7.38315
8.9,7.34828,7.34855,7.47835,7.34738,7.04582,7.4297,7.44866,7.44866
9.0,7.40149,7.43615,7.56975,7.39619,7.10383,7.49297,7.56481,7.56481
9.1,7.54145,7.6956,7.69038,7.56267,7.50645,7.58867,7.65424,7.65424
